Levels,Criterion,Mean,Std
CODE,C1_Readability,0.833,0.378
CODE,C2_Problem_Identification,0.278,0.454
CODE,C3_Explanation_Clarity,0.278,0.454
CODE,C4_Actionability,0.25,0.439
CODE,C5_Contextual_Adequacy,0.611,0.494
CODE,C6_Brevity,0.306,0.467
ERROR,C1_Readability,0.861,0.351
ERROR,C2_Problem_Identification,0.083,0.28
ERROR,C3_Explanation_Clarity,0.083,0.28
ERROR,C4_Actionability,0.0,0.0
ERROR,C5_Contextual_Adequacy,0.361,0.487
ERROR,C6_Brevity,0.111,0.319
TEST,C1_Readability,0.833,0.378
TEST,C2_Problem_Identification,0.25,0.439
TEST,C3_Explanation_Clarity,0.25,0.439
TEST,C4_Actionability,0.0,0.0
TEST,C5_Contextual_Adequacy,0.056,0.232
TEST,C6_Brevity,0.333,0.478
DOCSTRING,C1_Readability,0.75,0.439
DOCSTRING,C2_Problem_Identification,0.028,0.167
DOCSTRING,C3_Explanation_Clarity,0.028,0.167
DOCSTRING,C4_Actionability,0.028,0.167
DOCSTRING,C5_Contextual_Adequacy,0.167,0.378
DOCSTRING,C6_Brevity,0.028,0.167
SLICE_BLOCK,C1_Readability,0.861,0.351
SLICE_BLOCK,C2_Problem_Identification,0.0,0.0
SLICE_BLOCK,C3_Explanation_Clarity,0.0,0.0
SLICE_BLOCK,C4_Actionability,0.0,0.0
SLICE_BLOCK,C5_Contextual_Adequacy,0.472,0.506
SLICE_BLOCK,C6_Brevity,0.056,0.232
SLICE_BACKWARD,C1_Readability,0.861,0.351
SLICE_BACKWARD,C2_Problem_Identification,0.056,0.232
SLICE_BACKWARD,C3_Explanation_Clarity,0.056,0.232
SLICE_BACKWARD,C4_Actionability,0.028,0.167
SLICE_BACKWARD,C5_Contextual_Adequacy,0.444,0.504
SLICE_BACKWARD,C6_Brevity,0.083,0.28
SLICE_FORWARD,C1_Readability,0.889,0.319
SLICE_FORWARD,C2_Problem_Identification,0.0,0.0
SLICE_FORWARD,C3_Explanation_Clarity,0.0,0.0
SLICE_FORWARD,C4_Actionability,0.0,0.0
SLICE_FORWARD,C5_Contextual_Adequacy,0.667,0.478
SLICE_FORWARD,C6_Brevity,0.0,0.0
SLICE_UNION,C1_Readability,0.778,0.422
SLICE_UNION,C2_Problem_Identification,0.0,0.0
SLICE_UNION,C3_Explanation_Clarity,0.0,0.0
SLICE_UNION,C4_Actionability,0.0,0.0
SLICE_UNION,C5_Contextual_Adequacy,0.611,0.494
SLICE_UNION,C6_Brevity,0.056,0.232
BASELINE,C1_Readability,0.806,0.401
BASELINE,C2_Problem_Identification,0.861,0.351
BASELINE,C3_Explanation_Clarity,0.861,0.351
BASELINE,C4_Actionability,0.556,0.504
BASELINE,C5_Contextual_Adequacy,0.583,0.5
BASELINE,C6_Brevity,0.861,0.351
