Levels,Criterion,Mean,Std
CODE,C1_Readability,0.833,0.381
CODE,C2_Problem_Identification,0.667,0.482
CODE,C3_Explanation_Clarity,0.708,0.464
CODE,C4_Actionability,0.917,0.282
CODE,C5_Contextual_Adequacy,0.333,0.482
CODE,C6_Brevity,0.792,0.415
ERROR,C1_Readability,0.958,0.204
ERROR,C2_Problem_Identification,0.375,0.495
ERROR,C3_Explanation_Clarity,0.5,0.511
ERROR,C4_Actionability,0.667,0.482
ERROR,C5_Contextual_Adequacy,0.833,0.381
ERROR,C6_Brevity,0.875,0.338
TEST,C1_Readability,1.0,0.0
TEST,C2_Problem_Identification,0.583,0.504
TEST,C3_Explanation_Clarity,0.708,0.464
TEST,C4_Actionability,0.833,0.381
TEST,C5_Contextual_Adequacy,0.708,0.464
TEST,C6_Brevity,0.75,0.442
DOCSTRING,C1_Readability,0.875,0.338
DOCSTRING,C2_Problem_Identification,0.125,0.338
DOCSTRING,C3_Explanation_Clarity,0.208,0.415
DOCSTRING,C4_Actionability,0.708,0.464
DOCSTRING,C5_Contextual_Adequacy,0.5,0.511
DOCSTRING,C6_Brevity,0.542,0.509
SLICE_BLOCK,C1_Readability,0.875,0.338
SLICE_BLOCK,C2_Problem_Identification,0.167,0.381
SLICE_BLOCK,C3_Explanation_Clarity,0.292,0.464
SLICE_BLOCK,C4_Actionability,0.917,0.282
SLICE_BLOCK,C5_Contextual_Adequacy,0.875,0.338
SLICE_BLOCK,C6_Brevity,0.625,0.495
SLICE_BACKWARD,C1_Readability,0.833,0.381
SLICE_BACKWARD,C2_Problem_Identification,0.167,0.381
SLICE_BACKWARD,C3_Explanation_Clarity,0.375,0.495
SLICE_BACKWARD,C4_Actionability,1.0,0.0
SLICE_BACKWARD,C5_Contextual_Adequacy,1.0,0.0
SLICE_BACKWARD,C6_Brevity,0.667,0.482
SLICE_FORWARD,C1_Readability,0.833,0.381
SLICE_FORWARD,C2_Problem_Identification,0.042,0.204
SLICE_FORWARD,C3_Explanation_Clarity,0.25,0.442
SLICE_FORWARD,C4_Actionability,0.583,0.504
SLICE_FORWARD,C5_Contextual_Adequacy,0.75,0.442
SLICE_FORWARD,C6_Brevity,0.5,0.511
SLICE_UNION,C1_Readability,0.875,0.338
SLICE_UNION,C2_Problem_Identification,0.333,0.482
SLICE_UNION,C3_Explanation_Clarity,0.542,0.509
SLICE_UNION,C4_Actionability,0.958,0.204
SLICE_UNION,C5_Contextual_Adequacy,1.0,0.0
SLICE_UNION,C6_Brevity,0.667,0.482
BASELINE,C1_Readability,0.75,0.442
BASELINE,C2_Problem_Identification,0.958,0.204
BASELINE,C3_Explanation_Clarity,1.0,0.0
BASELINE,C4_Actionability,1.0,0.0
BASELINE,C5_Contextual_Adequacy,0.833,0.381
BASELINE,C6_Brevity,0.792,0.415
