Levels,Criterion,Mean,Std
CODE,C1_Readability,0.861,0.351
CODE,C2_Problem_Identification,0.167,0.378
CODE,C3_Explanation_Clarity,0.167,0.378
CODE,C4_Actionability,0.056,0.232
CODE,C5_Contextual_Adequacy,0.139,0.351
CODE,C6_Brevity,1.0,0.0
ERROR,C1_Readability,0.667,0.478
ERROR,C2_Problem_Identification,0.0,0.0
ERROR,C3_Explanation_Clarity,0.0,0.0
ERROR,C4_Actionability,0.0,0.0
ERROR,C5_Contextual_Adequacy,0.25,0.439
ERROR,C6_Brevity,1.0,0.0
TEST,C1_Readability,0.667,0.478
TEST,C2_Problem_Identification,0.194,0.401
TEST,C3_Explanation_Clarity,0.167,0.378
TEST,C4_Actionability,0.0,0.0
TEST,C5_Contextual_Adequacy,0.194,0.401
TEST,C6_Brevity,1.0,0.0
DOCSTRING,C1_Readability,0.417,0.5
DOCSTRING,C2_Problem_Identification,0.0,0.0
DOCSTRING,C3_Explanation_Clarity,0.0,0.0
DOCSTRING,C4_Actionability,0.0,0.0
DOCSTRING,C5_Contextual_Adequacy,0.028,0.167
DOCSTRING,C6_Brevity,0.639,0.487
SLICE_BLOCK,C1_Readability,0.75,0.439
SLICE_BLOCK,C2_Problem_Identification,0.0,0.0
SLICE_BLOCK,C3_Explanation_Clarity,0.0,0.0
SLICE_BLOCK,C4_Actionability,0.028,0.167
SLICE_BLOCK,C5_Contextual_Adequacy,0.5,0.507
SLICE_BLOCK,C6_Brevity,1.0,0.0
SLICE_BACKWARD,C1_Readability,0.806,0.401
SLICE_BACKWARD,C2_Problem_Identification,0.0,0.0
SLICE_BACKWARD,C3_Explanation_Clarity,0.0,0.0
SLICE_BACKWARD,C4_Actionability,0.0,0.0
SLICE_BACKWARD,C5_Contextual_Adequacy,0.722,0.454
SLICE_BACKWARD,C6_Brevity,1.0,0.0
SLICE_FORWARD,C1_Readability,0.917,0.28
SLICE_FORWARD,C2_Problem_Identification,0.0,0.0
SLICE_FORWARD,C3_Explanation_Clarity,0.0,0.0
SLICE_FORWARD,C4_Actionability,0.0,0.0
SLICE_FORWARD,C5_Contextual_Adequacy,0.556,0.504
SLICE_FORWARD,C6_Brevity,0.667,0.478
SLICE_UNION,C1_Readability,0.694,0.467
SLICE_UNION,C2_Problem_Identification,0.0,0.0
SLICE_UNION,C3_Explanation_Clarity,0.0,0.0
SLICE_UNION,C4_Actionability,0.0,0.0
SLICE_UNION,C5_Contextual_Adequacy,0.861,0.351
SLICE_UNION,C6_Brevity,0.972,0.167
BASELINE,C1_Readability,0.722,0.454
BASELINE,C2_Problem_Identification,0.833,0.378
BASELINE,C3_Explanation_Clarity,0.861,0.351
BASELINE,C4_Actionability,0.194,0.401
BASELINE,C5_Contextual_Adequacy,0.472,0.506
BASELINE,C6_Brevity,1.0,0.0
