Defect,Levels,C1_Readability,C2_Problem_Identification,C3_Explanation_Clarity,C4_Actionability,C5_Contextual_Adequacy,C6_Brevity
defect1_py,CODE,0.0,0.0,0.0,0.0,0.0,0.0
defect1_py,ERROR,1.0,0.0,0.0,0.0,0.0,0.0
defect1_py,TEST,0.667,0.0,0.0,0.0,0.0,0.0
defect1_py,DOCSTRING,0.0,0.0,0.0,0.0,0.0,0.0
defect1_py,SLICE_BLOCK,0.667,0.0,0.0,0.0,0.667,0.0
defect1_py,SLICE_BACKWARD,0.333,0.0,0.0,0.0,0.667,0.0
defect1_py,SLICE_FORWARD,0.0,0.0,0.0,0.0,1.0,0.0
defect1_py,SLICE_UNION,0.0,0.0,0.0,0.0,0.667,0.0
defect1_py,BASELINE,0.333,0.0,0.0,0.0,0.0,0.0
defect2_py,CODE,1.0,0.0,0.0,0.0,0.333,0.0
defect2_py,ERROR,1.0,0.0,0.0,0.0,1.0,0.0
defect2_py,TEST,0.667,0.0,0.0,0.0,0.333,0.0
defect2_py,DOCSTRING,1.0,0.0,0.0,0.0,0.0,0.0
defect2_py,SLICE_BLOCK,1.0,0.0,0.0,0.0,0.333,0.0
defect2_py,SLICE_BACKWARD,1.0,0.0,0.0,0.0,1.0,0.0
defect2_py,SLICE_FORWARD,0.667,0.0,0.0,0.0,0.0,0.0
defect2_py,SLICE_UNION,1.0,0.0,0.0,0.0,1.0,0.0
defect2_py,BASELINE,1.0,0.0,0.0,0.0,0.667,0.0
defect3_py,CODE,0.0,0.0,0.0,0.0,0.0,0.0
defect3_py,ERROR,0.667,0.0,0.0,0.0,0.333,0.0
defect3_py,TEST,0.333,0.0,0.0,0.0,0.0,0.0
defect3_py,DOCSTRING,0.667,0.0,0.0,0.0,0.333,0.0
defect3_py,SLICE_BLOCK,0.667,0.0,0.0,0.0,0.667,0.0
defect3_py,SLICE_BACKWARD,0.0,0.0,0.0,0.0,1.0,0.0
defect3_py,SLICE_FORWARD,0.667,0.0,0.0,0.0,1.0,0.0
defect3_py,SLICE_UNION,0.333,0.0,0.0,0.0,1.0,0.0
defect3_py,BASELINE,0.0,0.0,0.0,0.0,0.0,0.0
defect4_py,CODE,1.0,0.0,0.0,0.0,0.0,0.0
defect4_py,ERROR,1.0,0.0,0.0,0.0,0.333,0.0
defect4_py,TEST,0.333,0.0,0.0,0.0,0.0,0.0
defect4_py,DOCSTRING,1.0,0.0,0.0,0.0,0.667,0.0
defect4_py,SLICE_BLOCK,1.0,0.0,0.0,0.0,0.0,0.0
defect4_py,SLICE_BACKWARD,1.0,0.0,0.0,0.0,1.0,0.0
defect4_py,SLICE_FORWARD,0.0,0.0,0.0,0.0,0.0,0.0
defect4_py,SLICE_UNION,0.667,0.0,0.0,0.0,1.0,0.0
defect4_py,BASELINE,1.0,0.0,0.0,0.0,0.0,0.0
defect5_py,CODE,0.333,0.0,0.0,0.0,0.0,0.0
defect5_py,ERROR,1.0,0.0,0.0,0.0,1.0,0.0
defect5_py,TEST,0.667,0.0,0.0,0.0,0.333,0.0
defect5_py,DOCSTRING,0.667,0.0,0.0,0.0,0.0,0.0
defect5_py,SLICE_BLOCK,1.0,0.0,0.0,0.0,0.333,0.0
defect5_py,SLICE_BACKWARD,0.0,0.0,0.0,0.0,1.0,0.0
defect5_py,SLICE_FORWARD,0.667,0.0,0.0,0.0,0.0,0.0
defect5_py,SLICE_UNION,0.667,0.0,0.0,0.0,1.0,0.0
defect5_py,BASELINE,0.667,0.0,0.0,0.0,0.333,0.0
defect6_py,CODE,0.667,0.0,0.0,0.0,0.0,0.0
defect6_py,ERROR,1.0,0.0,0.0,0.0,0.333,0.0
defect6_py,TEST,1.0,0.0,0.0,0.0,1.0,0.0
defect6_py,DOCSTRING,0.667,0.0,0.0,0.0,0.333,0.0
defect6_py,SLICE_BLOCK,0.333,0.0,0.0,0.0,1.0,0.0
