HIT file,Original File,Method,Failure description,Test description
HIT01_8,8_DateTimeZone.java,forOffsetHoursMinutes,java.lang.IllegalArgumentException: Minutes out of range: -15,"assertEquals(DateTimeZone.forID(""-02:15""), DateTimeZone.forOffsetHoursMinutes(-2, -15));"
HIT02_24,24_GrayPaintScale.java,getPaint, java.lang.IllegalArgumentException: Color parameter outside of expected range: Red Green Blue,"GrayPaintScale gps = new GrayPaintScale();
c = (Color) gps.getPaint(-0.5);
assertTrue(c.equals(Color.black));"
HIT03_6,6_CharSequenceTranslator.java,translate, java.lang.StringIndexOutOfBoundsException: String index out of range: 2 ,"assertEquals(""\uD83D\uDE30"", StringEscapeUtils.escapeCsv(""\uD83D\uDE30""));"
HIT04_7,7_TimePeriodValues.java,updateBounds,junit.framework.AssertionFailedError: expected:<1> but was:<3>,"TimePeriodValues s = new TimePeriodValues(""Test"");
s.add(new SimpleTimePeriod(0L, 50L), 3.0);
assertEquals(1, s.getMaxMiddleIndex());"
HIT05_35,35_ArrayUtils.java,add,"java.lang.ClassCastException: [Ljava.lang.Object; cannot be cast to [Ljav
a.lang.String;","String[] sa = ArrayUtils.add(stringArray, aString);
          fail(""Should have caused IllegalArgumentException"");"
HIT06_51,51_CodeConsumer.java,addNumber, junit.framework.ComparisonFailure: expected:<var x=[-0.]0> but was:<var x=[]0>," assertPrint(""var x = -0.0;"", ""var x=-0.0"");"
HIT07_33,33_ClassUtils.java,toClass,java.lang.NullPointerException,"assertTrue(Arrays.equals(new Class[] { String.class, null, Double.class },
                ClassUtils.toClass(new Object[] { ""Test"", null, 99d })));"
HIT08_54,54_LocaleUtils.java,toLocale, java.lang.IllegalArgumentException: Invalid locale format: fr__POSIX,"assertValidToLocale(""fr__POSIX"", ""fr"", """", ""POSIX"");"
HIT09_39,39_StringUtils.java,replaceEach,java.lang.NullPointerException,"assertEquals(StringUtils.replaceEach(""aba"", new String[]{""a"", ""b""}, new String[]{""c"", null}),""cbc"");"
HIT10_44,44_NumberUtils.java,createNumber,java.lang.StringIndexOutOfBoundsException: String index out of range: 0,"String[] badInputs = new String[] { ""l"", ""L"", ""f"", ""F"", ""junk"", ""bobL""};
for(int i=0; i<badInputs.length; i++) {
    try {
        NumberUtils.createNumber(badInputs[i]);
        fail(""NumberFormatException was expected for "" + badInputs[i]);
    } catch (NumberFormatException e) {
        return; // expected
    }
}"
HIT11_11,11_RandomStringUtils.java,random,junit.framework.AssertionFailedError: Message (bound must be positive) must contain 'start',"try {
    RandomStringUtils.random(3,5,5,false,false);
    fail(""Expected IllegalArgumentException"");
} catch (IllegalArgumentException ex) { // distinguish from Random#nextInt message
    final String msg = ex.getMessage();
    assertTrue(""Message ("" + msg + "") must contain 'start'"", msg.contains(""start""));
    assertTrue(""Message ("" + msg + "") must contain 'end'"", msg.contains(""end""));
}"
HIT12_45,45_WordUtils.java,abbreviate,java.lang.StringIndexOutOfBoundsException: String index out of range: 15,"assertEquals(""0123456789"", WordUtils.abbreviate(""0123456789"", 15, 20, null));"
