Defect,Levels,C1_Readability,C2_Problem_Identification,C3_Explanation_Clarity,C4_Actionability,C5_Contextual_Adequacy,C6_Brevity
defect1_py,CODE_ERROR,0.333,1.0,1.0,0.667,0.0,1.0
defect1_py,CODE_TEST,0.0,0.667,1.0,0.667,0.0,1.0
defect1_py,CODE_DOCSTRING,0.0,1.0,1.0,1.0,0.0,1.0
defect1_py,CODE_SLICE_BLOCK,0.0,1.0,1.0,1.0,0.0,0.667
defect1_py,CODE_SLICE_BACKWARD,0.0,1.0,1.0,1.0,0.333,1.0
defect1_py,CODE_SLICE_FORWARD,0.667,0.0,0.333,1.0,1.0,0.667
defect1_py,CODE_SLICE_UNION,0.0,0.0,0.0,1.0,1.0,0.667
defect1_py,ERROR_TEST,1.0,1.0,1.0,1.0,0.0,1.0
defect1_py,ERROR_DOCSTRING,0.333,1.0,1.0,1.0,0.0,0.667
defect1_py,ERROR_SLICE_BLOCK,0.333,1.0,1.0,1.0,1.0,1.0
defect1_py,ERROR_SLICE_BACKWARD,0.333,1.0,1.0,1.0,1.0,1.0
defect1_py,ERROR_SLICE_FORWARD,0.0,1.0,1.0,1.0,1.0,0.667
defect1_py,ERROR_SLICE_UNION,0.667,1.0,1.0,1.0,0.667,1.0
defect1_py,TEST_DOCSTRING,0.667,0.667,0.667,1.0,0.333,0.667
defect1_py,TEST_SLICE_BLOCK,0.333,1.0,1.0,1.0,0.0,0.667
defect1_py,TEST_SLICE_BACKWARD,0.0,1.0,1.0,1.0,0.0,1.0
defect1_py,TEST_SLICE_FORWARD,0.0,0.333,0.667,0.667,1.0,0.667
defect1_py,TEST_SLICE_UNION,0.333,1.0,1.0,1.0,1.0,1.0
defect1_py,DOCSTRING_SLICE_BLOCK,0.0,1.0,1.0,1.0,0.667,0.667
defect1_py,DOCSTRING_SLICE_BACKWARD,0.0,1.0,1.0,1.0,0.0,0.667
defect1_py,DOCSTRING_SLICE_FORWARD,0.0,0.333,0.333,1.0,1.0,0.667
defect1_py,DOCSTRING_SLICE_UNION,0.333,1.0,1.0,1.0,1.0,1.0
defect1_py,SLICE_BLOCK_SLICE_BACKWARD,0.333,0.0,0.0,1.0,0.667,0.333
defect1_py,SLICE_BLOCK_SLICE_FORWARD,0.333,0.667,1.0,1.0,0.667,1.0
defect1_py,SLICE_BLOCK_SLICE_UNION,0.0,1.0,1.0,1.0,0.333,0.333
defect1_py,SLICE_BACKWARD_SLICE_FORWARD,0.0,1.0,1.0,1.0,1.0,1.0
defect1_py,SLICE_BACKWARD_SLICE_UNION,0.0,1.0,1.0,1.0,0.667,1.0
defect1_py,SLICE_FORWARD_SLICE_UNION,0.667,0.0,0.667,0.667,1.0,0.333
defect1_py,BASELINE,0.0,1.0,1.0,1.0,0.333,0.667
defect2_py,CODE_ERROR,1.0,1.0,1.0,1.0,0.333,1.0
defect2_py,CODE_TEST,1.0,1.0,1.0,1.0,0.0,1.0
defect2_py,CODE_DOCSTRING,1.0,1.0,1.0,1.0,0.333,0.667
defect2_py,CODE_SLICE_BLOCK,1.0,1.0,1.0,1.0,0.333,0.333
defect2_py,CODE_SLICE_BACKWARD,1.0,1.0,1.0,1.0,1.0,0.667
defect2_py,CODE_SLICE_FORWARD,1.0,1.0,1.0,1.0,0.0,1.0
defect2_py,CODE_SLICE_UNION,1.0,1.0,1.0,1.0,1.0,1.0
defect2_py,ERROR_TEST,1.0,1.0,1.0,1.0,0.0,1.0
defect2_py,ERROR_DOCSTRING,1.0,0.0,0.0,1.0,0.0,1.0
defect2_py,ERROR_SLICE_BLOCK,0.667,0.0,0.0,1.0,1.0,1.0
defect2_py,ERROR_SLICE_BACKWARD,1.0,0.0,0.0,1.0,1.0,1.0
defect2_py,ERROR_SLICE_FORWARD,1.0,0.0,0.0,0.0,0.667,0.0
defect2_py,ERROR_SLICE_UNION,1.0,0.333,1.0,1.0,1.0,1.0
defect2_py,TEST_DOCSTRING,1.0,1.0,1.0,1.0,1.0,0.667
defect2_py,TEST_SLICE_BLOCK,1.0,0.667,0.667,1.0,0.667,0.667
defect2_py,TEST_SLICE_BACKWARD,1.0,1.0,1.0,1.0,0.667,1.0
defect2_py,TEST_SLICE_FORWARD,1.0,0.333,0.333,1.0,0.667,0.0
defect2_py,TEST_SLICE_UNION,1.0,1.0,1.0,1.0,1.0,1.0
defect2_py,DOCSTRING_SLICE_BLOCK,0.667,0.0,0.0,1.0,1.0,1.0
defect2_py,DOCSTRING_SLICE_BACKWARD,1.0,0.0,0.0,1.0,1.0,1.0
defect2_py,DOCSTRING_SLICE_FORWARD,1.0,0.0,0.0,0.667,0.333,0.667
defect2_py,DOCSTRING_SLICE_UNION,1.0,0.0,0.0,1.0,1.0,1.0
defect2_py,SLICE_BLOCK_SLICE_BACKWARD,1.0,0.0,0.333,1.0,1.0,1.0
defect2_py,SLICE_BLOCK_SLICE_FORWARD,1.0,0.0,0.0,1.0,1.0,0.0
defect2_py,SLICE_BLOCK_SLICE_UNION,1.0,0.0,0.0,1.0,1.0,0.667
defect2_py,SLICE_BACKWARD_SLICE_FORWARD,1.0,0.0,0.0,1.0,1.0,1.0
defect2_py,SLICE_BACKWARD_SLICE_UNION,1.0,0.0,0.0,1.0,1.0,1.0
defect2_py,SLICE_FORWARD_SLICE_UNION,1.0,0.0,0.0,1.0,1.0,0.667
defect2_py,BASELINE,1.0,1.0,1.0,1.0,1.0,0.667
defect3_py,CODE_ERROR,0.333,1.0,1.0,1.0,0.0,1.0
defect3_py,CODE_TEST,0.333,0.667,1.0,1.0,0.0,1.0
defect3_py,CODE_DOCSTRING,0.667,0.667,1.0,1.0,0.0,0.667
defect3_py,CODE_SLICE_BLOCK,0.0,0.667,1.0,1.0,0.0,1.0
defect3_py,CODE_SLICE_BACKWARD,0.333,0.667,0.667,1.0,0.0,0.667
defect3_py,CODE_SLICE_FORWARD,1.0,1.0,1.0,1.0,0.667,1.0
defect3_py,CODE_SLICE_UNION,1.0,1.0,1.0,1.0,0.667,1.0
defect3_py,ERROR_TEST,1.0,0.667,0.667,1.0,0.0,1.0
defect3_py,ERROR_DOCSTRING,1.0,0.0,0.0,1.0,0.0,1.0
defect3_py,ERROR_SLICE_BLOCK,0.667,0.0,0.0,1.0,1.0,1.0
defect3_py,ERROR_SLICE_BACKWARD,0.667,0.0,0.333,1.0,1.0,1.0
defect3_py,ERROR_SLICE_FORWARD,0.667,0.0,0.0,1.0,1.0,0.333
defect3_py,ERROR_SLICE_UNION,1.0,0.333,0.333,1.0,1.0,1.0
defect3_py,TEST_DOCSTRING,1.0,1.0,1.0,1.0,0.0,1.0
defect3_py,TEST_SLICE_BLOCK,0.0,1.0,1.0,1.0,0.0,1.0
defect3_py,TEST_SLICE_BACKWARD,0.667,1.0,1.0,1.0,0.333,1.0
defect3_py,TEST_SLICE_FORWARD,0.667,1.0,1.0,1.0,1.0,0.667
defect3_py,TEST_SLICE_UNION,0.667,1.0,1.0,1.0,1.0,1.0
defect3_py,DOCSTRING_SLICE_BLOCK,0.333,0.0,0.0,1.0,0.0,0.333
defect3_py,DOCSTRING_SLICE_BACKWARD,0.667,0.0,0.0,1.0,1.0,0.667
defect3_py,DOCSTRING_SLICE_FORWARD,1.0,0.0,0.333,1.0,1.0,0.667
defect3_py,DOCSTRING_SLICE_UNION,0.333,0.0,0.333,1.0,1.0,1.0
defect3_py,SLICE_BLOCK_SLICE_BACKWARD,1.0,0.333,0.667,1.0,1.0,1.0
defect3_py,SLICE_BLOCK_SLICE_FORWARD,0.667,0.0,0.0,1.0,1.0,0.667
defect3_py,SLICE_BLOCK_SLICE_UNION,1.0,0.0,0.0,1.0,1.0,1.0
defect3_py,SLICE_BACKWARD_SLICE_FORWARD,0.333,0.0,0.0,0.667,1.0,0.667
defect3_py,SLICE_BACKWARD_SLICE_UNION,1.0,0.0,0.333,1.0,1.0,0.667
defect3_py,SLICE_FORWARD_SLICE_UNION,0.333,0.0,0.0,1.0,1.0,1.0
defect3_py,BASELINE,1.0,0.667,1.0,1.0,0.0,1.0
defect4_py,CODE_ERROR,1.0,1.0,1.0,0.667,1.0,0.333
defect4_py,CODE_TEST,1.0,1.0,1.0,1.0,1.0,1.0
defect4_py,CODE_DOCSTRING,1.0,1.0,1.0,1.0,1.0,0.667
defect4_py,CODE_SLICE_BLOCK,1.0,1.0,1.0,1.0,1.0,1.0
defect4_py,CODE_SLICE_BACKWARD,1.0,1.0,1.0,1.0,1.0,0.667
defect4_py,CODE_SLICE_FORWARD,1.0,1.0,1.0,1.0,1.0,1.0
defect4_py,CODE_SLICE_UNION,1.0,1.0,1.0,1.0,1.0,0.667
defect4_py,ERROR_TEST,1.0,1.0,1.0,1.0,0.667,0.667
defect4_py,ERROR_DOCSTRING,1.0,0.0,0.333,1.0,0.0,1.0
defect4_py,ERROR_SLICE_BLOCK,1.0,0.333,1.0,1.0,0.667,0.667
defect4_py,ERROR_SLICE_BACKWARD,1.0,0.0,0.0,0.667,1.0,0.333
defect4_py,ERROR_SLICE_FORWARD,1.0,0.0,0.0,0.667,0.0,1.0
defect4_py,ERROR_SLICE_UNION,1.0,0.0,0.0,0.667,1.0,0.667
defect4_py,TEST_DOCSTRING,1.0,1.0,1.0,1.0,1.0,1.0
defect4_py,TEST_SLICE_BLOCK,1.0,1.0,1.0,1.0,0.667,1.0
defect4_py,TEST_SLICE_BACKWARD,1.0,0.667,0.667,1.0,0.667,1.0
defect4_py,TEST_SLICE_FORWARD,1.0,1.0,1.0,1.0,1.0,0.667
defect4_py,TEST_SLICE_UNION,1.0,0.0,0.667,1.0,1.0,1.0
defect4_py,DOCSTRING_SLICE_BLOCK,1.0,0.0,0.0,1.0,0.667,0.667
defect4_py,DOCSTRING_SLICE_BACKWARD,1.0,0.0,0.0,0.667,1.0,0.333
defect4_py,DOCSTRING_SLICE_FORWARD,1.0,0.0,0.0,0.0,0.333,0.333
defect4_py,DOCSTRING_SLICE_UNION,1.0,0.0,0.0,1.0,1.0,0.667
defect4_py,SLICE_BLOCK_SLICE_BACKWARD,1.0,0.0,0.0,0.333,1.0,0.0
defect4_py,SLICE_BLOCK_SLICE_FORWARD,1.0,0.0,0.0,1.0,1.0,0.333
defect4_py,SLICE_BLOCK_SLICE_UNION,1.0,0.0,0.0,0.667,1.0,0.333
defect4_py,SLICE_BACKWARD_SLICE_FORWARD,1.0,0.0,0.0,0.667,1.0,1.0
defect4_py,SLICE_BACKWARD_SLICE_UNION,1.0,0.0,0.0,1.0,1.0,0.667
defect4_py,SLICE_FORWARD_SLICE_UNION,1.0,0.0,0.333,1.0,1.0,1.0
defect4_py,BASELINE,1.0,1.0,1.0,1.0,1.0,1.0
defect5_py,CODE_ERROR,0.667,1.0,1.0,1.0,0.0,0.667
defect5_py,CODE_TEST,1.0,1.0,1.0,1.0,0.0,0.667
defect5_py,CODE_DOCSTRING,1.0,1.0,1.0,1.0,0.0,0.667
defect5_py,CODE_SLICE_BLOCK,1.0,1.0,1.0,1.0,0.667,1.0
defect5_py,CODE_SLICE_BACKWARD,1.0,1.0,1.0,1.0,1.0,0.667
defect5_py,CODE_SLICE_FORWARD,1.0,1.0,1.0,1.0,0.0,1.0
defect5_py,CODE_SLICE_UNION,1.0,1.0,1.0,1.0,1.0,0.667
defect5_py,ERROR_TEST,1.0,1.0,1.0,1.0,1.0,1.0
defect5_py,ERROR_DOCSTRING,1.0,1.0,1.0,1.0,1.0,1.0
defect5_py,ERROR_SLICE_BLOCK,1.0,0.0,1.0,1.0,1.0,0.667
defect5_py,ERROR_SLICE_BACKWARD,0.667,0.667,1.0,1.0,1.0,1.0
defect5_py,ERROR_SLICE_FORWARD,1.0,0.0,0.0,0.667,1.0,0.667
defect5_py,ERROR_SLICE_UNION,0.667,0.667,0.667,1.0,1.0,1.0
defect5_py,TEST_DOCSTRING,0.667,0.333,0.667,1.0,0.0,0.667
defect5_py,TEST_SLICE_BLOCK,1.0,1.0,1.0,1.0,0.0,1.0
defect5_py,TEST_SLICE_BACKWARD,1.0,1.0,1.0,1.0,1.0,0.667
defect5_py,TEST_SLICE_FORWARD,1.0,0.0,0.0,0.667,0.667,1.0
defect5_py,TEST_SLICE_UNION,1.0,1.0,1.0,1.0,1.0,1.0
defect5_py,DOCSTRING_SLICE_BLOCK,1.0,0.333,1.0,1.0,0.667,1.0
defect5_py,DOCSTRING_SLICE_BACKWARD,1.0,1.0,1.0,1.0,1.0,0.667
defect5_py,DOCSTRING_SLICE_FORWARD,1.0,0.0,0.0,1.0,0.667,1.0
defect5_py,DOCSTRING_SLICE_UNION,1.0,1.0,1.0,1.0,1.0,0.667
defect5_py,SLICE_BLOCK_SLICE_BACKWARD,0.667,1.0,1.0,1.0,1.0,1.0
defect5_py,SLICE_BLOCK_SLICE_FORWARD,1.0,0.0,0.667,1.0,0.333,0.667
defect5_py,SLICE_BLOCK_SLICE_UNION,0.667,0.667,0.667,1.0,1.0,1.0
defect5_py,SLICE_BACKWARD_SLICE_FORWARD,0.667,0.667,0.667,1.0,1.0,0.667
defect5_py,SLICE_BACKWARD_SLICE_UNION,1.0,0.333,0.667,1.0,1.0,0.667
defect5_py,SLICE_FORWARD_SLICE_UNION,1.0,0.333,1.0,1.0,1.0,1.0
defect5_py,BASELINE,1.0,1.0,1.0,1.0,1.0,1.0
defect6_py,CODE_ERROR,1.0,1.0,1.0,1.0,0.0,0.667
defect6_py,CODE_TEST,1.0,1.0,1.0,1.0,0.667,1.0
defect6_py,CODE_DOCSTRING,1.0,0.0,0.0,1.0,0.333,0.667
defect6_py,CODE_SLICE_BLOCK,1.0,0.0,0.0,1.0,1.0,0.333
defect6_py,CODE_SLICE_BACKWARD,1.0,0.0,0.0,1.0,0.667,0.333
defect6_py,CODE_SLICE_FORWARD,1.0,0.0,0.0,1.0,0.667,0.333
defect6_py,CODE_SLICE_UNION,1.0,0.0,0.0,0.667,1.0,0.333
defect6_py,ERROR_TEST,1.0,1.0,1.0,1.0,0.667,0.667
defect6_py,ERROR_DOCSTRING,1.0,0.333,0.333,0.0,0.667,1.0
defect6_py,ERROR_SLICE_BLOCK,1.0,1.0,1.0,1.0,1.0,0.333
defect6_py,ERROR_SLICE_BACKWARD,1.0,1.0,1.0,1.0,1.0,1.0
defect6_py,ERROR_SLICE_FORWARD,1.0,1.0,1.0,1.0,1.0,0.667
defect6_py,ERROR_SLICE_UNION,1.0,1.0,1.0,0.667,1.0,1.0
defect6_py,TEST_DOCSTRING,1.0,1.0,1.0,1.0,0.667,1.0
defect6_py,TEST_SLICE_BLOCK,1.0,1.0,1.0,1.0,1.0,0.667
defect6_py,TEST_SLICE_BACKWARD,1.0,1.0,1.0,1.0,1.0,1.0
defect6_py,TEST_SLICE_FORWARD,1.0,1.0,1.0,1.0,1.0,1.0
defect6_py,TEST_SLICE_UNION,1.0,1.0,1.0,1.0,1.0,1.0
defect6_py,DOCSTRING_SLICE_BLOCK,1.0,0.0,0.0,1.0,1.0,0.0
defect6_py,DOCSTRING_SLICE_BACKWARD,1.0,0.0,0.0,1.0,1.0,0.667
defect6_py,DOCSTRING_SLICE_FORWARD,0.667,0.0,0.0,1.0,1.0,0.333
defect6_py,DOCSTRING_SLICE_UNION,1.0,0.0,0.0,1.0,1.0,0.0
defect6_py,SLICE_BLOCK_SLICE_BACKWARD,1.0,0.0,0.0,1.0,1.0,0.0
defect6_py,SLICE_BLOCK_SLICE_FORWARD,1.0,0.0,0.333,1.0,1.0,0.333
defect6_py,SLICE_BLOCK_SLICE_UNION,1.0,0.0,0.0,0.667,1.0,0.333
defect6_py,SLICE_BACKWARD_SLICE_FORWARD,1.0,0.0,0.333,0.667,1.0,0.333
defect6_py,SLICE_BACKWARD_SLICE_UNION,1.0,0.0,0.0,1.0,1.0,0.333
defect6_py,SLICE_FORWARD_SLICE_UNION,1.0,0.333,0.333,1.0,1.0,0.0
defect6_py,BASELINE,1.0,1.0,1.0,1.0,1.0,0.667
defect7_py,CODE_ERROR,1.0,1.0,1.0,1.0,1.0,0.667
defect7_py,CODE_TEST,1.0,1.0,1.0,1.0,1.0,1.0
defect7_py,CODE_DOCSTRING,1.0,1.0,1.0,1.0,1.0,1.0
defect7_py,CODE_SLICE_BLOCK,1.0,0.667,1.0,1.0,1.0,0.667
defect7_py,CODE_SLICE_BACKWARD,1.0,1.0,1.0,1.0,1.0,1.0
defect7_py,CODE_SLICE_FORWARD,1.0,1.0,1.0,1.0,1.0,1.0
defect7_py,CODE_SLICE_UNION,1.0,0.667,0.667,0.667,1.0,0.667
defect7_py,ERROR_TEST,1.0,1.0,1.0,1.0,1.0,0.667
defect7_py,ERROR_DOCSTRING,0.667,1.0,1.0,1.0,1.0,0.667
defect7_py,ERROR_SLICE_BLOCK,1.0,1.0,1.0,1.0,1.0,1.0
defect7_py,ERROR_SLICE_BACKWARD,1.0,1.0,1.0,1.0,1.0,0.333
defect7_py,ERROR_SLICE_FORWARD,1.0,1.0,1.0,1.0,1.0,0.667
defect7_py,ERROR_SLICE_UNION,1.0,1.0,1.0,1.0,1.0,1.0
defect7_py,TEST_DOCSTRING,1.0,1.0,1.0,1.0,1.0,1.0
defect7_py,TEST_SLICE_BLOCK,1.0,1.0,1.0,1.0,1.0,1.0
defect7_py,TEST_SLICE_BACKWARD,1.0,1.0,1.0,1.0,1.0,0.667
defect7_py,TEST_SLICE_FORWARD,0.667,0.333,0.333,1.0,1.0,1.0
defect7_py,TEST_SLICE_UNION,1.0,1.0,1.0,1.0,1.0,1.0
defect7_py,DOCSTRING_SLICE_BLOCK,1.0,1.0,1.0,1.0,1.0,1.0
defect7_py,DOCSTRING_SLICE_BACKWARD,1.0,1.0,1.0,1.0,1.0,0.333
