defect_id,run_id,fix_correct,known_bug,fix_description,notes
defect1_java,1,FALSE,"Minutes validation rejects negative; offset calc uses subtraction instead of addition","Changed validation to allow -59..+59; but offset calculation `minutesOffset = hoursInMinutes - minutesOffset` is wrong for negative minutes","Fails because subtraction of negative minutes adds them to negative hours, resulting in incorrect total"
defect1_java,2,TRUE,"Minutes validation rejects negative; offset calc uses subtraction instead of addition","Changed validation to allow -59..+59; uses `minutesOffset = hoursInMinutes - Math.abs(minutesOffset)` for negative hours","Correctly handles the offset calculation for negative minutes"
defect1_java,3,TRUE,"Minutes validation rejects negative; offset calc uses subtraction instead of addition","Changed validation to allow -59..+59; uses `minutesOffset = hoursInMinutes - Math.abs(minutesOffset)` for negative hours","Correctly handles the offset calculation"
defect2_java,1,TRUE,"Uses unclamped 'value' instead of clamped 'v' for grayscale calculation","Changed (value - lowerBound) to (v - lowerBound)","Correct minimal fix"
defect2_java,2,TRUE,"Uses unclamped 'value' instead of clamped 'v' for grayscale calculation","Changed (value - lowerBound) to (v - lowerBound)","Correct minimal fix"
defect2_java,3,TRUE,"Uses unclamped 'value' instead of clamped 'v' for grayscale calculation","Changed (value - lowerBound) to (v - lowerBound)","Correct minimal fix"
defect3_java,1,TRUE,"Surrogate pair: translate returns 2 (code units) but loop advances by codepoints causing IndexOutOfBounds","Fixed advancement to use Character.charCount on the codepoint","Correctly handles surrogate pairs"
defect3_java,2,TRUE,"Surrogate pair: translate returns 2 (code units) but loop advances by codepoints causing IndexOutOfBounds","Fixed advancement to use Character.charCount on the codepoint","Correctly handles surrogate pairs"
defect3_java,3,TRUE,"Surrogate pair: translate returns 2 (code units) but loop advances by codepoints causing IndexOutOfBounds","Fixed advancement to use Character.charCount on the codepoint","Correctly handles surrogate pairs"
defect4_java,1,TRUE,"Uses minMiddleIndex instead of maxMiddleIndex when computing max middle comparison","Changed to use maxMiddleIndex for both lookup and comparison","Correct fix"
defect4_java,2,TRUE,"Uses minMiddleIndex instead of maxMiddleIndex when computing max middle comparison","Changed to use maxMiddleIndex for both lookup and comparison","Correct fix"
defect4_java,3,TRUE,"Uses minMiddleIndex instead of maxMiddleIndex when computing max middle comparison","Changed to use maxMiddleIndex for both lookup and comparison","Correct fix"
defect5_java,1,FALSE,"copyArrayGrow1 casts result to Object[] causing ClassCastException on typed arrays","Passes array.getClass() to copyArrayGrow1 instead of getComponentType()","Incorrect: array.getClass() on String[] is [Ljava.lang.String; which is not the component type"
defect5_java,2,TRUE,"copyArrayGrow1 casts result to Object[] causing ClassCastException on typed arrays","Uses Array.newInstance with getComponentType() and System.arraycopy","Correctly avoids the cast issue"
defect5_java,3,TRUE,"copyArrayGrow1 casts result to Object[] causing ClassCastException on typed arrays","Passes array.getClass().getComponentType() to copyArrayGrow1","Correct fix"
defect6_java,1,FALSE,"Missing negative zero handling: -0.0 printed as '0' instead of '-0.0'","No negative zero check added","Bug not addressed"
defect6_java,2,TRUE,"Missing negative zero handling: -0.0 printed as '0' instead of '-0.0'","Added explicitly check `if (isNegativeZero(x)) { add(\"-0.0\"); }`","Correctly handles negative zero"
defect6_java,3,TRUE,"Missing negative zero handling: -0.0 printed as '0' instead of '-0.0'","Added explicitly check `if (isNegativeZero(x)) { add(\"-0\"); }`","Correctly handles negative zero"
defect7_java,1,TRUE,"NullPointerException when array contains null element - no null check in loop","Added null check: `array[i] == null ? null : array[i].getClass()`","Correct fix"
