Levels,Criterion,Mean,Std
CODE_ERROR_TEST,C1_Readability,0.861,0.351
CODE_ERROR_TEST,C2_Problem_Identification,0.861,0.351
CODE_ERROR_TEST,C3_Explanation_Clarity,0.861,0.351
CODE_ERROR_TEST,C4_Actionability,0.5,0.507
CODE_ERROR_TEST,C5_Contextual_Adequacy,0.472,0.506
CODE_ERROR_TEST,C6_Brevity,0.917,0.28
CODE_ERROR_DOCSTRING,C1_Readability,0.889,0.319
CODE_ERROR_DOCSTRING,C2_Problem_Identification,0.611,0.494
CODE_ERROR_DOCSTRING,C3_Explanation_Clarity,0.611,0.494
CODE_ERROR_DOCSTRING,C4_Actionability,0.361,0.487
CODE_ERROR_DOCSTRING,C5_Contextual_Adequacy,0.5,0.507
CODE_ERROR_DOCSTRING,C6_Brevity,0.611,0.494
CODE_ERROR_SLICE_BLOCK,C1_Readability,0.944,0.232
CODE_ERROR_SLICE_BLOCK,C2_Problem_Identification,0.75,0.439
CODE_ERROR_SLICE_BLOCK,C3_Explanation_Clarity,0.75,0.439
CODE_ERROR_SLICE_BLOCK,C4_Actionability,0.556,0.504
CODE_ERROR_SLICE_BLOCK,C5_Contextual_Adequacy,0.528,0.506
CODE_ERROR_SLICE_BLOCK,C6_Brevity,0.75,0.439
CODE_ERROR_SLICE_BACKWARD,C1_Readability,0.833,0.378
CODE_ERROR_SLICE_BACKWARD,C2_Problem_Identification,0.639,0.487
CODE_ERROR_SLICE_BACKWARD,C3_Explanation_Clarity,0.639,0.487
CODE_ERROR_SLICE_BACKWARD,C4_Actionability,0.333,0.478
CODE_ERROR_SLICE_BACKWARD,C5_Contextual_Adequacy,0.472,0.506
CODE_ERROR_SLICE_BACKWARD,C6_Brevity,0.667,0.478
CODE_ERROR_SLICE_FORWARD,C1_Readability,0.889,0.319
CODE_ERROR_SLICE_FORWARD,C2_Problem_Identification,0.583,0.5
CODE_ERROR_SLICE_FORWARD,C3_Explanation_Clarity,0.583,0.5
CODE_ERROR_SLICE_FORWARD,C4_Actionability,0.556,0.504
CODE_ERROR_SLICE_FORWARD,C5_Contextual_Adequacy,0.694,0.467
CODE_ERROR_SLICE_FORWARD,C6_Brevity,0.611,0.494
CODE_ERROR_SLICE_UNION,C1_Readability,0.889,0.319
CODE_ERROR_SLICE_UNION,C2_Problem_Identification,0.639,0.487
CODE_ERROR_SLICE_UNION,C3_Explanation_Clarity,0.639,0.487
CODE_ERROR_SLICE_UNION,C4_Actionability,0.5,0.507
CODE_ERROR_SLICE_UNION,C5_Contextual_Adequacy,0.778,0.422
CODE_ERROR_SLICE_UNION,C6_Brevity,0.639,0.487
CODE_TEST_DOCSTRING,C1_Readability,0.694,0.467
