Stage,Criterion,Java_Mean,Java_Std,Python_Mean,Python_Std
CODE_ONLY,C1_Readability,0,0,0.75,0.452
CODE_ONLY,C2_Problem_Identification,0,0,1.0,0.0
CODE_ONLY,C3_Explanation_Clarity,0,0,1.0,0.0
CODE_ONLY,C4_Actionability,0,0,1.0,0.0
CODE_ONLY,C5_Contextual_Adequacy,0,0,0.417,0.515
CODE_ONLY,C6_Brevity,0,0,1.0,0.0
SLICE_NAIVE,C1_Readability,0,0,0.75,0.452
SLICE_NAIVE,C2_Problem_Identification,0,0,1.0,0.0
SLICE_NAIVE,C3_Explanation_Clarity,0,0,1.0,0.0
SLICE_NAIVE,C4_Actionability,0,0,1.0,0.0
SLICE_NAIVE,C5_Contextual_Adequacy,0,0,0.833,0.389
SLICE_NAIVE,C6_Brevity,0,0,1.0,0.0
SLICE_BACKWARD,C1_Readability,0,0,0.833,0.389
SLICE_BACKWARD,C2_Problem_Identification,0,0,1.0,0.0
SLICE_BACKWARD,C3_Explanation_Clarity,0,0,1.0,0.0
SLICE_BACKWARD,C4_Actionability,0,0,1.0,0.0
SLICE_BACKWARD,C5_Contextual_Adequacy,0,0,0.583,0.515
SLICE_BACKWARD,C6_Brevity,0,0,1.0,0.0
SLICE_FORWARD,C1_Readability,0,0,0.75,0.452
SLICE_FORWARD,C2_Problem_Identification,0,0,1.0,0.0
SLICE_FORWARD,C3_Explanation_Clarity,0,0,1.0,0.0
SLICE_FORWARD,C4_Actionability,0,0,0.917,0.289
SLICE_FORWARD,C5_Contextual_Adequacy,0,0,0.333,0.492
SLICE_FORWARD,C6_Brevity,0,0,1.0,0.0
SLICE_UNION,C1_Readability,0,0,0.833,0.389
SLICE_UNION,C2_Problem_Identification,0,0,1.0,0.0
SLICE_UNION,C3_Explanation_Clarity,0,0,1.0,0.0
SLICE_UNION,C4_Actionability,0,0,0.917,0.289
SLICE_UNION,C5_Contextual_Adequacy,0,0,0.75,0.452
SLICE_UNION,C6_Brevity,0,0,1.0,0.0
