defect_id,run_id,fix_correct,known_bug,fix_description,notes
defect1_java,1,TRUE,"Minutes validation rejects negative; offset calc uses subtraction instead of addition","Changed validation to allow -59..+59; added sign-combination check; uses hoursOffset*60 + minutesOffset","Correctly fixes both the validation range and the offset calculation"
defect1_java,2,TRUE,"Minutes validation rejects negative; offset calc uses subtraction instead of addition","Removed strict <0 check; uses hoursOffset*60 + minutesOffset via safeAdd","Correct fix; slightly different style (removes the positive-hours-negative-minutes check entirely)"
defect1_java,3,TRUE,"Minutes validation rejects negative; offset calc uses subtraction instead of addition","Changed validation to allow -59..+59; added sign-combination check; uses safeAdd(hoursOffset*60, minutesOffset)","Correct fix; also adds boundary check on result"
defect2_java,1,TRUE,"Uses unclamped 'value' instead of clamped 'v' for grayscale calculation","Changed (value - lowerBound) to (v - lowerBound)","Exact minimal fix"
defect2_java,2,TRUE,"Uses unclamped 'value' instead of clamped 'v' for grayscale calculation","Changed (value - lowerBound) to (v - lowerBound)","Exact minimal fix"
defect2_java,3,TRUE,"Uses unclamped 'value' instead of clamped 'v' for grayscale calculation","Changed (value - lowerBound) to (v - lowerBound)","Exact minimal fix"
defect3_java,1,TRUE,"Surrogate pair: translate returns 2 (code units) but loop advances by codepoints causing IndexOutOfBounds","Fixed codepoint counting to use position before advancement","Correctly addresses the surrogate pair advancement issue"
defect3_java,2,TRUE,"Surrogate pair: translate returns 2 (code units) but loop advances by codepoints causing IndexOutOfBounds","Fixed codepoint counting logic for surrogate pairs","Correctly addresses the surrogate pair advancement issue"
defect3_java,3,TRUE,"Surrogate pair: translate returns 2 (code units) but loop advances by codepoints causing IndexOutOfBounds","Fixed codepoint counting logic for surrogate pairs","Correctly addresses the surrogate pair advancement issue"
defect4_java,1,TRUE,"Uses minMiddleIndex instead of maxMiddleIndex when computing max middle comparison","Changed to use maxMiddleIndex for both getDataItem lookup and comparison","Exact fix for the index swap bug"
defect4_java,2,TRUE,"Uses minMiddleIndex instead of maxMiddleIndex when computing max middle comparison","Changed to use maxMiddleIndex for both getDataItem lookup and comparison","Exact fix for the index swap bug"
defect4_java,3,TRUE,"Uses minMiddleIndex instead of maxMiddleIndex when computing max middle comparison","Changed to use maxMiddleIndex for both getDataItem lookup and comparison","Exact fix for the index swap bug"
defect5_java,1,FALSE,"copyArrayGrow1 casts result to Object[] causing ClassCastException on typed arrays","Rewrote add() to bypass copyArrayGrow1 using Array.newInstance; but changed the method signature/logic substantially","Overly broad changes; may not preserve original method contract on edge cases"
defect5_java,2,TRUE,"copyArrayGrow1 casts result to Object[] causing ClassCastException on typed arrays","Fixed copyArrayGrow1 to use array.getClass().getComponentType() instead of newArrayComponentType for non-null arrays","Minimal fix in the right place (copyArrayGrow1)"
defect5_java,3,FALSE,"copyArrayGrow1 casts result to Object[] causing ClassCastException on typed arrays","Rewrote add() entirely using Array.newInstance + Array.set; bypasses copyArrayGrow1","Over-engineered; changes method structure rather than fixing the root cause in copyArrayGrow1"
defect6_java,1,FALSE,"Missing negative zero handling: -0.0 printed as '0' instead of '-0.0'","No negative zero check added; changed mantissa loop logic","Does not handle the negative zero case at all"
defect6_java,2,FALSE,"Missing negative zero handling: -0.0 printed as '0' instead of '-0.0'","Changed while loop condition but no negative zero handling","Does not handle the negative zero case at all"
defect6_java,3,FALSE,"Missing negative zero handling: -0.0 printed as '0' instead of '-0.0'","Changed while loop condition but no negative zero handling","Does not handle the negative zero case at all"
defect7_java,1,FALSE,"NullPointerException when array contains null element - no null check in loop","Code unchanged from original buggy version","No fix applied at all; returned identical buggy code"
defect7_java,2,FALSE,"NullPointerException when array contains null element - no null check in loop","Code unchanged from original buggy version","No fix applied at all; returned identical buggy code"
defect7_java,3,FALSE,"NullPointerException when array contains null element - no null check in loop","Code unchanged from original buggy version","No fix applied at all; returned identical buggy code"
defect8_java,1,TRUE,"Does not handle language__variant format (e.g. fr__POSIX); rejects double underscore","Added handling for empty country code with double underscore","Correctly handles the fr__POSIX case"
defect8_java,2,TRUE,"Does not handle language__variant format (e.g. fr__POSIX); rejects double underscore","Added handling for empty country code with double underscore","Correctly handles the fr__POSIX case"
defect8_java,3,TRUE,"Does not handle language__variant format (e.g. fr__POSIX); rejects double underscore","Added handling for empty country code with double underscore","Correctly handles the fr__POSIX case"
defect9_java,1,TRUE,"NullPointerException when replacement is null; should skip null entries","Added null guard for replacement entries in the buffer growth calculation","Correctly guards against null in replacement list"
defect9_java,2,TRUE,"NullPointerException when replacement is null; should skip null entries","Added null guard for replacement entries","Correctly guards against null in replacement list"
defect9_java,3,TRUE,"NullPointerException when replacement is null; should skip null entries","Added null guard for replacement entries","Correctly guards against null in replacement list"
defect10_java,1,TRUE,"StringIndexOutOfBoundsException on empty string after stripping type qualifier (e.g. 'l' -> '')","Added empty string check after stripping qualifier","Correctly handles the empty-after-strip edge case"
defect10_java,2,TRUE,"StringIndexOutOfBoundsException on empty string after stripping type qualifier (e.g. 'l' -> '')","Added empty string check after stripping qualifier","Correctly handles the empty-after-strip edge case"
