Model,Batch,Defect,Level,Run,Passed,Has_Scores,Total_Score,Minimal,Line_Deviation,Jaccard,Levenshtein,Expected_N,Actual_N,Spurious_N,Missed_N,Factor_CODE,Factor_ERROR,Factor_TEST,Factor_DOCSTRING,Factor_SLICE_BLOCK,Factor_SLICE_BACKWARD,Factor_SLICE_FORWARD,Factor_SLICE_UNION,SLICE_BLOCK_Expected_Coverage,SLICE_BLOCK_Actual_Coverage,SLICE_BLOCK_OutOfSlice_Actual_N,SLICE_BACKWARD_Expected_Coverage,SLICE_BACKWARD_Actual_Coverage,SLICE_BACKWARD_OutOfSlice_Actual_N,SLICE_FORWARD_Expected_Coverage,SLICE_FORWARD_Actual_Coverage,SLICE_FORWARD_OutOfSlice_Actual_N,SLICE_UNION_Expected_Coverage,SLICE_UNION_Actual_Coverage,SLICE_UNION_OutOfSlice_Actual_N,Baseline_Volume,Baseline_Effort,Delta_Volume,Delta_Effort,Quartile
gpt_5_mini,isolated,defect1_py,CODE,1,False,True,0,False,12,0.5416666666666666,0.315789,3,4,2,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,185.4660401983375,1609.5802774355725,0.0,0.0,Q1
gpt_5_mini,isolated,defect1_py,ERROR,1,False,True,1,False,33,0.0967741935483871,0.828571,3,18,15,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,185.4660401983375,1609.5802774355725,,,Q1
gpt_5_mini,isolated,defect1_py,TEST,1,False,True,0,False,12,0.5416666666666666,0.315789,3,7,5,1,0,0,1,0,0,0,0,0,,,,,,,,,,,,,185.4660401983375,1609.5802774355725,0.0,0.0,Q1
gpt_5_mini,isolated,defect1_py,DOCSTRING,1,False,True,0,False,39,0.11428571428571428,0.804878,3,18,15,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,185.4660401983375,1609.5802774355725,,,Q1
gpt_5_mini,isolated,defect1_py,SLICE_BLOCK,1,False,True,1,False,15,0.46153846153846156,0.384615,3,6,4,1,0,0,0,0,1,0,0,0,0.3333333333333333,0.0,6.0,,,,,,,,,,185.4660401983375,1609.5802774355725,30.02719733555685,394.5068316296456,Q1
gpt_5_mini,isolated,defect1_py,SLICE_BACKWARD,1,False,True,1,False,18,0.39285714285714285,0.45,3,7,4,0,0,0,0,0,0,1,0,0,,,,0.3333333333333333,0.14285714285714285,6.0,,,,,,,185.4660401983375,1609.5802774355725,56.01448166994814,699.5772129299096,Q1
gpt_5_mini,isolated,defect1_py,SLICE_FORWARD,1,False,True,1,False,12,0.5416666666666666,0.315789,3,4,2,1,0,0,0,0,0,0,1,0,,,,,,,0.3333333333333333,0.75,1.0,,,,185.4660401983375,1609.5802774355725,0.0,0.0,Q1
gpt_5_mini,isolated,defect1_py,SLICE_UNION,1,False,True,1,False,36,0.12121212121212122,0.789474,3,18,15,0,0,0,0,0,0,0,0,1,,,,,,,,,,0.6666666666666666,0.3888888888888889,11.0,185.4660401983375,1609.5802774355725,,,Q1
gpt_5_mini,isolated,defect1_py,BASELINE,1,False,True,0,False,32,0.1,0.823529,3,18,15,0,1,1,1,1,1,1,1,1,0.3333333333333333,0.1111111111111111,16.0,0.3333333333333333,0.1111111111111111,16.0,0.3333333333333333,0.2777777777777778,13.0,0.6666666666666666,0.3888888888888889,11.0,185.4660401983375,1609.5802774355725,,,Q1
gpt_5_mini,isolated,defect2_py,CODE,1,True,True,1,False,10,0.2857142857142857,0.555556,1,1,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,85.83671966625714,327.74020236207275,14.241480368358353,181.74881599596972,Q1
gpt_5_mini,isolated,defect2_py,ERROR,1,True,True,2,False,11,0.21428571428571427,0.647059,1,3,2,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,85.83671966625714,327.74020236207275,-17.304331069220268,-99.2989070386165,Q3
gpt_5_mini,isolated,defect2_py,TEST,1,True,True,1,False,9,0.25,0.6,1,2,1,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,85.83671966625714,327.74020236207275,0.0,0.0,Q1
gpt_5_mini,isolated,defect2_py,DOCSTRING,1,False,True,1,False,20,0.047619047619047616,0.909091,1,3,2,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,85.83671966625714,327.74020236207275,-30.330123894140755,-204.3922117573697,Q1
gpt_5_mini,isolated,defect2_py,SLICE_BLOCK,1,True,True,1,False,7,0.45454545454545453,0.375,1,3,2,0,0,0,0,0,1,0,0,0,0.0,0.6666666666666666,1.0,,,,,,,,,,85.83671966625714,327.74020236207275,-9.83671966625714,-120.4674750893455,Q1
gpt_5_mini,isolated,defect2_py,SLICE_BACKWARD,1,True,True,2,False,11,0.21428571428571427,0.647059,1,2,1,0,0,0,0,0,0,1,0,0,,,,1.0,1.0,0.0,,,,,,,85.83671966625714,327.74020236207275,14.241480368358353,181.74881599596972,Q3
gpt_5_mini,isolated,defect2_py,SLICE_FORWARD,1,False,True,1,False,9,0.25,0.6,1,2,1,0,0,0,0,0,0,0,1,0,,,,,,,0.0,0.0,2.0,,,,85.83671966625714,327.74020236207275,0.0,0.0,Q1
gpt_5_mini,isolated,defect2_py,SLICE_UNION,1,False,True,2,False,11,0.21428571428571427,0.647059,1,2,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,1.0,1.0,0.0,85.83671966625714,327.74020236207275,14.241480368358353,181.74881599596972,Q3
gpt_5_mini,isolated,defect2_py,BASELINE,1,False,True,2,False,10,0.2857142857142857,0.555556,1,1,0,0,1,1,1,1,1,1,1,1,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,85.83671966625714,327.74020236207275,14.241480368358353,181.74881599596972,Q3
gpt_5_mini,isolated,defect3_py,CODE,1,True,True,0,True,0,1.0,0.0,2,2,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,66.60791492653966,177.62110647077242,-2.0785899135588437,15.966868568170042,Q1
gpt_5_mini,isolated,defect3_py,ERROR,1,False,True,2,False,10,0.64,0.238095,2,2,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,66.60791492653966,177.62110647077242,27.157459368064774,197.44039070764535,Q3
gpt_5_mini,isolated,defect3_py,TEST,1,False,True,0,False,6,0.7272727272727273,0.157895,2,5,3,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,66.60791492653966,177.62110647077242,13.346538436670016,133.31287883059855,Q1
gpt_5_mini,isolated,defect3_py,DOCSTRING,1,False,True,2,False,35,0.05714285714285714,0.897436,2,5,4,1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,66.60791492653966,177.62110647077242,21.392085073460336,191.9788935292276,Q3
gpt_5_mini,isolated,defect3_py,SLICE_BLOCK,1,False,True,1,False,7,0.6956521739130435,0.179487,2,3,1,0,0,0,0,0,1,0,0,0,0.0,0.0,3.0,,,,,,,,,,66.60791492653966,177.62110647077242,13.346538436670016,133.31287883059855,Q1
gpt_5_mini,isolated,defect3_py,SLICE_BACKWARD,1,False,True,1,False,4,0.8,0.111111,2,2,0,0,0,0,0,0,0,1,0,0,,,,0.0,0.0,2.0,,,,,,,66.60791492653966,177.62110647077242,0.0,0.0,Q1
gpt_5_mini,isolated,defect3_py,SLICE_FORWARD,1,False,True,2,False,8,0.6666666666666666,0.2,2,5,3,0,0,0,0,0,0,0,1,0,,,,,,,0.0,0.0,5.0,,,,66.60791492653966,177.62110647077242,24.768603202842822,228.49675188203867,Q3
gpt_5_mini,isolated,defect3_py,SLICE_UNION,1,False,True,1,False,8,0.6666666666666666,0.2,2,2,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,0.0,0.0,2.0,66.60791492653966,177.62110647077242,53.392085073460336,367.8334389837731,Q1
gpt_5_mini,isolated,defect3_py,BASELINE,1,False,True,0,False,6,0.7272727272727273,0.157895,2,2,0,0,1,1,1,1,1,1,1,1,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,66.60791492653966,177.62110647077242,1.924473670497207,-13.143373837883928,Q1
gpt_5_mini,isolated,defect4_py,CODE,1,True,True,1,True,0,1.0,0.0,1,1,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,504.6426221872951,3041.8735837400845,0.0,0.0,Q1
gpt_5_mini,isolated,defect4_py,ERROR,1,True,True,1,True,0,1.0,0.0,1,1,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,504.6426221872951,3041.8735837400845,0.0,0.0,Q1
gpt_5_mini,isolated,defect4_py,TEST,1,True,True,0,True,0,1.0,0.0,1,1,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,504.6426221872951,3041.8735837400845,0.0,0.0,Q1
gpt_5_mini,isolated,defect4_py,DOCSTRING,1,True,True,1,True,0,1.0,0.0,1,3,2,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,504.6426221872951,3041.8735837400845,0.0,0.0,Q1
gpt_5_mini,isolated,defect4_py,SLICE_BLOCK,1,True,True,1,False,86,0.27472527472527475,0.565789,1,2,1,0,0,0,0,0,1,0,0,0,0.0,0.0,2.0,,,,,,,,,,504.6426221872951,3041.8735837400845,34.1524964254358,1041.6262625879808,Q1
gpt_5_mini,isolated,defect4_py,SLICE_BACKWARD,1,True,True,2,False,86,0.1590909090909091,0.61194,1,38,37,0,0,0,0,0,0,1,0,0,,,,0.0,0.15789473684210525,32.0,,,,,,,504.6426221872951,3041.8735837400845,-147.91779708777557,-1061.4357616358552,Q3
gpt_5_mini,isolated,defect4_py,SLICE_FORWARD,1,True,True,0,True,0,1.0,0.0,1,1,0,0,0,0,0,0,0,0,1,0,,,,,,,0.0,0.0,1.0,,,,504.6426221872951,3041.8735837400845,0.0,0.0,Q1
gpt_5_mini,isolated,defect4_py,SLICE_UNION,1,True,True,2,True,0,1.0,0.0,1,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,0.0,0.0,1.0,504.6426221872951,3041.8735837400845,0.0,0.0,Q3
gpt_5_mini,isolated,defect4_py,BASELINE,1,True,True,1,True,0,1.0,0.0,1,1,0,0,1,1,1,1,1,1,1,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,504.6426221872951,3041.8735837400845,0.0,0.0,Q1
