Levels,Criterion,Mean,Std
CODE_ERROR,C1_Readability,0.722,0.454
CODE_ERROR,C2_Problem_Identification,0.056,0.232
CODE_ERROR,C3_Explanation_Clarity,0.056,0.232
CODE_ERROR,C4_Actionability,0.056,0.232
CODE_ERROR,C5_Contextual_Adequacy,0.139,0.351
CODE_ERROR,C6_Brevity,0.056,0.232
CODE_TEST,C1_Readability,0.75,0.439
CODE_TEST,C2_Problem_Identification,0.056,0.232
CODE_TEST,C3_Explanation_Clarity,0.056,0.232
CODE_TEST,C4_Actionability,0.028,0.167
CODE_TEST,C5_Contextual_Adequacy,0.167,0.378
CODE_TEST,C6_Brevity,0.056,0.232
CODE_DOCSTRING,C1_Readability,0.667,0.478
CODE_DOCSTRING,C2_Problem_Identification,0.056,0.232
CODE_DOCSTRING,C3_Explanation_Clarity,0.056,0.232
CODE_DOCSTRING,C4_Actionability,0.0,0.0
CODE_DOCSTRING,C5_Contextual_Adequacy,0.306,0.467
CODE_DOCSTRING,C6_Brevity,0.056,0.232
CODE_SLICE_BLOCK,C1_Readability,0.778,0.422
CODE_SLICE_BLOCK,C2_Problem_Identification,0.0,0.0
CODE_SLICE_BLOCK,C3_Explanation_Clarity,0.0,0.0
CODE_SLICE_BLOCK,C4_Actionability,0.0,0.0
CODE_SLICE_BLOCK,C5_Contextual_Adequacy,0.361,0.487
CODE_SLICE_BLOCK,C6_Brevity,0.0,0.0
CODE_SLICE_BACKWARD,C1_Readability,0.75,0.439
CODE_SLICE_BACKWARD,C2_Problem_Identification,0.0,0.0
CODE_SLICE_BACKWARD,C3_Explanation_Clarity,0.0,0.0
CODE_SLICE_BACKWARD,C4_Actionability,0.0,0.0
CODE_SLICE_BACKWARD,C5_Contextual_Adequacy,0.306,0.467
CODE_SLICE_BACKWARD,C6_Brevity,0.0,0.0
CODE_SLICE_FORWARD,C1_Readability,0.694,0.467
CODE_SLICE_FORWARD,C2_Problem_Identification,0.0,0.0
CODE_SLICE_FORWARD,C3_Explanation_Clarity,0.0,0.0
CODE_SLICE_FORWARD,C4_Actionability,0.0,0.0
CODE_SLICE_FORWARD,C5_Contextual_Adequacy,0.222,0.422
CODE_SLICE_FORWARD,C6_Brevity,0.0,0.0
CODE_SLICE_UNION,C1_Readability,0.667,0.478
CODE_SLICE_UNION,C2_Problem_Identification,0.0,0.0
CODE_SLICE_UNION,C3_Explanation_Clarity,0.0,0.0
CODE_SLICE_UNION,C4_Actionability,0.0,0.0
CODE_SLICE_UNION,C5_Contextual_Adequacy,0.25,0.439
CODE_SLICE_UNION,C6_Brevity,0.0,0.0
ERROR_TEST,C1_Readability,0.694,0.467
ERROR_TEST,C2_Problem_Identification,0.0,0.0
ERROR_TEST,C3_Explanation_Clarity,0.0,0.0
ERROR_TEST,C4_Actionability,0.0,0.0
ERROR_TEST,C5_Contextual_Adequacy,0.25,0.439
ERROR_TEST,C6_Brevity,0.0,0.0
ERROR_DOCSTRING,C1_Readability,0.778,0.422
ERROR_DOCSTRING,C2_Problem_Identification,0.0,0.0
ERROR_DOCSTRING,C3_Explanation_Clarity,0.0,0.0
ERROR_DOCSTRING,C4_Actionability,0.0,0.0
ERROR_DOCSTRING,C5_Contextual_Adequacy,0.278,0.454
ERROR_DOCSTRING,C6_Brevity,0.0,0.0
ERROR_SLICE_BLOCK,C1_Readability,0.778,0.422
ERROR_SLICE_BLOCK,C2_Problem_Identification,0.0,0.0
ERROR_SLICE_BLOCK,C3_Explanation_Clarity,0.0,0.0
ERROR_SLICE_BLOCK,C4_Actionability,0.0,0.0
ERROR_SLICE_BLOCK,C5_Contextual_Adequacy,0.361,0.487
ERROR_SLICE_BLOCK,C6_Brevity,0.0,0.0
ERROR_SLICE_BACKWARD,C1_Readability,0.833,0.378
ERROR_SLICE_BACKWARD,C2_Problem_Identification,0.0,0.0
ERROR_SLICE_BACKWARD,C3_Explanation_Clarity,0.0,0.0
ERROR_SLICE_BACKWARD,C4_Actionability,0.0,0.0
ERROR_SLICE_BACKWARD,C5_Contextual_Adequacy,0.528,0.506
ERROR_SLICE_BACKWARD,C6_Brevity,0.0,0.0
ERROR_SLICE_FORWARD,C1_Readability,0.778,0.422
ERROR_SLICE_FORWARD,C2_Problem_Identification,0.0,0.0
ERROR_SLICE_FORWARD,C3_Explanation_Clarity,0.0,0.0
ERROR_SLICE_FORWARD,C4_Actionability,0.0,0.0
ERROR_SLICE_FORWARD,C5_Contextual_Adequacy,0.583,0.5
ERROR_SLICE_FORWARD,C6_Brevity,0.0,0.0
ERROR_SLICE_UNION,C1_Readability,0.639,0.487
ERROR_SLICE_UNION,C2_Problem_Identification,0.0,0.0
ERROR_SLICE_UNION,C3_Explanation_Clarity,0.0,0.0
ERROR_SLICE_UNION,C4_Actionability,0.0,0.0
ERROR_SLICE_UNION,C5_Contextual_Adequacy,0.778,0.422
ERROR_SLICE_UNION,C6_Brevity,0.0,0.0
TEST_DOCSTRING,C1_Readability,0.528,0.506
TEST_DOCSTRING,C2_Problem_Identification,0.0,0.0
TEST_DOCSTRING,C3_Explanation_Clarity,0.0,0.0
TEST_DOCSTRING,C4_Actionability,0.0,0.0
TEST_DOCSTRING,C5_Contextual_Adequacy,0.222,0.422
TEST_DOCSTRING,C6_Brevity,0.0,0.0
TEST_SLICE_BLOCK,C1_Readability,0.778,0.422
