Levels,Criterion,Mean,Std
CODE_ERROR,C1_Readability,0.833,0.378
CODE_ERROR,C2_Problem_Identification,0.972,0.167
CODE_ERROR,C3_Explanation_Clarity,0.972,0.167
CODE_ERROR,C4_Actionability,0.917,0.28
CODE_ERROR,C5_Contextual_Adequacy,0.333,0.478
CODE_ERROR,C6_Brevity,0.778,0.422
CODE_TEST,C1_Readability,0.806,0.401
CODE_TEST,C2_Problem_Identification,0.944,0.232
CODE_TEST,C3_Explanation_Clarity,1.0,0.0
CODE_TEST,C4_Actionability,0.944,0.232
CODE_TEST,C5_Contextual_Adequacy,0.361,0.487
CODE_TEST,C6_Brevity,0.917,0.28
CODE_DOCSTRING,C1_Readability,0.861,0.351
CODE_DOCSTRING,C2_Problem_Identification,0.778,0.422
CODE_DOCSTRING,C3_Explanation_Clarity,0.806,0.401
CODE_DOCSTRING,C4_Actionability,0.972,0.167
CODE_DOCSTRING,C5_Contextual_Adequacy,0.361,0.487
CODE_DOCSTRING,C6_Brevity,0.778,0.422
CODE_SLICE_BLOCK,C1_Readability,0.806,0.401
CODE_SLICE_BLOCK,C2_Problem_Identification,0.778,0.422
CODE_SLICE_BLOCK,C3_Explanation_Clarity,0.861,0.351
CODE_SLICE_BLOCK,C4_Actionability,0.972,0.167
CODE_SLICE_BLOCK,C5_Contextual_Adequacy,0.639,0.487
CODE_SLICE_BLOCK,C6_Brevity,0.778,0.422
CODE_SLICE_BACKWARD,C1_Readability,0.806,0.401
CODE_SLICE_BACKWARD,C2_Problem_Identification,0.806,0.401
CODE_SLICE_BACKWARD,C3_Explanation_Clarity,0.806,0.401
CODE_SLICE_BACKWARD,C4_Actionability,0.944,0.232
CODE_SLICE_BACKWARD,C5_Contextual_Adequacy,0.778,0.422
CODE_SLICE_BACKWARD,C6_Brevity,0.806,0.401
CODE_SLICE_FORWARD,C1_Readability,0.972,0.167
CODE_SLICE_FORWARD,C2_Problem_Identification,0.667,0.478
CODE_SLICE_FORWARD,C3_Explanation_Clarity,0.694,0.467
CODE_SLICE_FORWARD,C4_Actionability,0.972,0.167
CODE_SLICE_FORWARD,C5_Contextual_Adequacy,0.667,0.478
CODE_SLICE_FORWARD,C6_Brevity,0.833,0.378
CODE_SLICE_UNION,C1_Readability,0.889,0.319
CODE_SLICE_UNION,C2_Problem_Identification,0.722,0.454
CODE_SLICE_UNION,C3_Explanation_Clarity,0.722,0.454
CODE_SLICE_UNION,C4_Actionability,0.944,0.232
CODE_SLICE_UNION,C5_Contextual_Adequacy,0.889,0.319
CODE_SLICE_UNION,C6_Brevity,0.75,0.439
ERROR_TEST,C1_Readability,1.0,0.0
ERROR_TEST,C2_Problem_Identification,0.889,0.319
ERROR_TEST,C3_Explanation_Clarity,0.889,0.319
ERROR_TEST,C4_Actionability,1.0,0.0
ERROR_TEST,C5_Contextual_Adequacy,0.472,0.506
ERROR_TEST,C6_Brevity,0.861,0.351
ERROR_DOCSTRING,C1_Readability,0.917,0.28
ERROR_DOCSTRING,C2_Problem_Identification,0.611,0.494
ERROR_DOCSTRING,C3_Explanation_Clarity,0.639,0.487
ERROR_DOCSTRING,C4_Actionability,0.917,0.28
ERROR_DOCSTRING,C5_Contextual_Adequacy,0.611,0.494
ERROR_DOCSTRING,C6_Brevity,0.917,0.28
ERROR_SLICE_BLOCK,C1_Readability,0.889,0.319
ERROR_SLICE_BLOCK,C2_Problem_Identification,0.5,0.507
ERROR_SLICE_BLOCK,C3_Explanation_Clarity,0.722,0.454
ERROR_SLICE_BLOCK,C4_Actionability,0.972,0.167
ERROR_SLICE_BLOCK,C5_Contextual_Adequacy,0.944,0.232
ERROR_SLICE_BLOCK,C6_Brevity,0.806,0.401
ERROR_SLICE_BACKWARD,C1_Readability,0.861,0.351
ERROR_SLICE_BACKWARD,C2_Problem_Identification,0.5,0.507
ERROR_SLICE_BACKWARD,C3_Explanation_Clarity,0.611,0.494
ERROR_SLICE_BACKWARD,C4_Actionability,0.972,0.167
ERROR_SLICE_BACKWARD,C5_Contextual_Adequacy,0.917,0.28
ERROR_SLICE_BACKWARD,C6_Brevity,0.833,0.378
ERROR_SLICE_FORWARD,C1_Readability,0.861,0.351
ERROR_SLICE_FORWARD,C2_Problem_Identification,0.556,0.504
ERROR_SLICE_FORWARD,C3_Explanation_Clarity,0.528,0.506
ERROR_SLICE_FORWARD,C4_Actionability,0.861,0.351
ERROR_SLICE_FORWARD,C5_Contextual_Adequacy,0.889,0.319
ERROR_SLICE_FORWARD,C6_Brevity,0.722,0.454
ERROR_SLICE_UNION,C1_Readability,0.75,0.439
ERROR_SLICE_UNION,C2_Problem_Identification,0.528,0.506
ERROR_SLICE_UNION,C3_Explanation_Clarity,0.611,0.494
ERROR_SLICE_UNION,C4_Actionability,0.917,0.28
ERROR_SLICE_UNION,C5_Contextual_Adequacy,0.944,0.232
ERROR_SLICE_UNION,C6_Brevity,0.889,0.319
TEST_DOCSTRING,C1_Readability,0.917,0.28
TEST_DOCSTRING,C2_Problem_Identification,0.833,0.378
TEST_DOCSTRING,C3_Explanation_Clarity,0.917,0.28
TEST_DOCSTRING,C4_Actionability,1.0,0.0
TEST_DOCSTRING,C5_Contextual_Adequacy,0.417,0.5
TEST_DOCSTRING,C6_Brevity,0.889,0.319
TEST_SLICE_BLOCK,C1_Readability,0.778,0.422
TEST_SLICE_BLOCK,C2_Problem_Identification,0.944,0.232
TEST_SLICE_BLOCK,C3_Explanation_Clarity,0.944,0.232
TEST_SLICE_BLOCK,C4_Actionability,1.0,0.0
TEST_SLICE_BLOCK,C5_Contextual_Adequacy,0.5,0.507
TEST_SLICE_BLOCK,C6_Brevity,0.917,0.28
TEST_SLICE_BACKWARD,C1_Readability,0.889,0.319
TEST_SLICE_BACKWARD,C2_Problem_Identification,0.917,0.28
TEST_SLICE_BACKWARD,C3_Explanation_Clarity,0.917,0.28
TEST_SLICE_BACKWARD,C4_Actionability,1.0,0.0
TEST_SLICE_BACKWARD,C5_Contextual_Adequacy,0.694,0.467
TEST_SLICE_BACKWARD,C6_Brevity,0.917,0.28
TEST_SLICE_FORWARD,C1_Readability,0.833,0.378
TEST_SLICE_FORWARD,C2_Problem_Identification,0.611,0.494
TEST_SLICE_FORWARD,C3_Explanation_Clarity,0.694,0.467
TEST_SLICE_FORWARD,C4_Actionability,0.944,0.232
TEST_SLICE_FORWARD,C5_Contextual_Adequacy,0.917,0.28
TEST_SLICE_FORWARD,C6_Brevity,0.833,0.378
TEST_SLICE_UNION,C1_Readability,0.889,0.319
TEST_SLICE_UNION,C2_Problem_Identification,0.778,0.422
TEST_SLICE_UNION,C3_Explanation_Clarity,0.861,0.351
TEST_SLICE_UNION,C4_Actionability,1.0,0.0
TEST_SLICE_UNION,C5_Contextual_Adequacy,0.944,0.232
TEST_SLICE_UNION,C6_Brevity,0.889,0.319
DOCSTRING_SLICE_BLOCK,C1_Readability,0.722,0.454
DOCSTRING_SLICE_BLOCK,C2_Problem_Identification,0.444,0.504
DOCSTRING_SLICE_BLOCK,C3_Explanation_Clarity,0.528,0.506
DOCSTRING_SLICE_BLOCK,C4_Actionability,1.0,0.0
DOCSTRING_SLICE_BLOCK,C5_Contextual_Adequacy,0.694,0.467
DOCSTRING_SLICE_BLOCK,C6_Brevity,0.667,0.478
DOCSTRING_SLICE_BACKWARD,C1_Readability,0.861,0.351
DOCSTRING_SLICE_BACKWARD,C2_Problem_Identification,0.472,0.506
DOCSTRING_SLICE_BACKWARD,C3_Explanation_Clarity,0.5,0.507
DOCSTRING_SLICE_BACKWARD,C4_Actionability,0.972,0.167
DOCSTRING_SLICE_BACKWARD,C5_Contextual_Adequacy,0.833,0.378
DOCSTRING_SLICE_BACKWARD,C6_Brevity,0.667,0.478
DOCSTRING_SLICE_FORWARD,C1_Readability,0.861,0.351
DOCSTRING_SLICE_FORWARD,C2_Problem_Identification,0.333,0.478
DOCSTRING_SLICE_FORWARD,C3_Explanation_Clarity,0.417,0.5
DOCSTRING_SLICE_FORWARD,C4_Actionability,0.889,0.319
DOCSTRING_SLICE_FORWARD,C5_Contextual_Adequacy,0.861,0.351
DOCSTRING_SLICE_FORWARD,C6_Brevity,0.722,0.454
DOCSTRING_SLICE_UNION,C1_Readability,0.861,0.351
DOCSTRING_SLICE_UNION,C2_Problem_Identification,0.556,0.504
DOCSTRING_SLICE_UNION,C3_Explanation_Clarity,0.639,0.487
DOCSTRING_SLICE_UNION,C4_Actionability,1.0,0.0
DOCSTRING_SLICE_UNION,C5_Contextual_Adequacy,0.944,0.232
DOCSTRING_SLICE_UNION,C6_Brevity,0.667,0.478
SLICE_BLOCK_SLICE_BACKWARD,C1_Readability,0.833,0.378
SLICE_BLOCK_SLICE_BACKWARD,C2_Problem_Identification,0.25,0.439
SLICE_BLOCK_SLICE_BACKWARD,C3_Explanation_Clarity,0.306,0.467
SLICE_BLOCK_SLICE_BACKWARD,C4_Actionability,0.944,0.232
SLICE_BLOCK_SLICE_BACKWARD,C5_Contextual_Adequacy,0.972,0.167
SLICE_BLOCK_SLICE_BACKWARD,C6_Brevity,0.639,0.487
SLICE_BLOCK_SLICE_FORWARD,C1_Readability,0.861,0.351
SLICE_BLOCK_SLICE_FORWARD,C2_Problem_Identification,0.25,0.439
SLICE_BLOCK_SLICE_FORWARD,C3_Explanation_Clarity,0.389,0.494
SLICE_BLOCK_SLICE_FORWARD,C4_Actionability,0.972,0.167
SLICE_BLOCK_SLICE_FORWARD,C5_Contextual_Adequacy,0.917,0.28
SLICE_BLOCK_SLICE_FORWARD,C6_Brevity,0.639,0.487
SLICE_BLOCK_SLICE_UNION,C1_Readability,0.861,0.351
SLICE_BLOCK_SLICE_UNION,C2_Problem_Identification,0.361,0.487
SLICE_BLOCK_SLICE_UNION,C3_Explanation_Clarity,0.389,0.494
SLICE_BLOCK_SLICE_UNION,C4_Actionability,0.917,0.28
SLICE_BLOCK_SLICE_UNION,C5_Contextual_Adequacy,0.944,0.232
SLICE_BLOCK_SLICE_UNION,C6_Brevity,0.667,0.478
SLICE_BACKWARD_SLICE_FORWARD,C1_Readability,0.778,0.422
SLICE_BACKWARD_SLICE_FORWARD,C2_Problem_Identification,0.333,0.478
SLICE_BACKWARD_SLICE_FORWARD,C3_Explanation_Clarity,0.389,0.494
SLICE_BACKWARD_SLICE_FORWARD,C4_Actionability,0.889,0.319
SLICE_BACKWARD_SLICE_FORWARD,C5_Contextual_Adequacy,1.0,0.0
SLICE_BACKWARD_SLICE_FORWARD,C6_Brevity,0.806,0.401
SLICE_BACKWARD_SLICE_UNION,C1_Readability,0.861,0.351
SLICE_BACKWARD_SLICE_UNION,C2_Problem_Identification,0.333,0.478
SLICE_BACKWARD_SLICE_UNION,C3_Explanation_Clarity,0.444,0.504
SLICE_BACKWARD_SLICE_UNION,C4_Actionability,1.0,0.0
SLICE_BACKWARD_SLICE_UNION,C5_Contextual_Adequacy,0.944,0.232
SLICE_BACKWARD_SLICE_UNION,C6_Brevity,0.778,0.422
SLICE_FORWARD_SLICE_UNION,C1_Readability,0.833,0.378
SLICE_FORWARD_SLICE_UNION,C2_Problem_Identification,0.25,0.439
SLICE_FORWARD_SLICE_UNION,C3_Explanation_Clarity,0.444,0.504
SLICE_FORWARD_SLICE_UNION,C4_Actionability,0.972,0.167
SLICE_FORWARD_SLICE_UNION,C5_Contextual_Adequacy,0.972,0.167
SLICE_FORWARD_SLICE_UNION,C6_Brevity,0.722,0.454
BASELINE,C1_Readability,0.861,0.351
BASELINE,C2_Problem_Identification,0.972,0.167
BASELINE,C3_Explanation_Clarity,1.0,0.0
BASELINE,C4_Actionability,0.972,0.167
BASELINE,C5_Contextual_Adequacy,0.694,0.467
BASELINE,C6_Brevity,0.861,0.351
