Levels,Criterion,Mean,Std
CODE_ERROR,C1_Readability,0.792,0.415
CODE_ERROR,C2_Problem_Identification,1.0,0.0
CODE_ERROR,C3_Explanation_Clarity,1.0,0.0
CODE_ERROR,C4_Actionability,0.917,0.282
CODE_ERROR,C5_Contextual_Adequacy,0.292,0.464
CODE_ERROR,C6_Brevity,0.792,0.415
CODE_TEST,C1_Readability,0.792,0.415
CODE_TEST,C2_Problem_Identification,0.917,0.282
CODE_TEST,C3_Explanation_Clarity,1.0,0.0
CODE_TEST,C4_Actionability,0.958,0.204
CODE_TEST,C5_Contextual_Adequacy,0.333,0.482
CODE_TEST,C6_Brevity,0.958,0.204
CODE_DOCSTRING,C1_Readability,0.833,0.381
CODE_DOCSTRING,C2_Problem_Identification,0.708,0.464
CODE_DOCSTRING,C3_Explanation_Clarity,0.75,0.442
CODE_DOCSTRING,C4_Actionability,0.958,0.204
CODE_DOCSTRING,C5_Contextual_Adequacy,0.333,0.482
CODE_DOCSTRING,C6_Brevity,0.708,0.464
CODE_SLICE_BLOCK,C1_Readability,0.75,0.442
CODE_SLICE_BLOCK,C2_Problem_Identification,0.667,0.482
CODE_SLICE_BLOCK,C3_Explanation_Clarity,0.792,0.415
CODE_SLICE_BLOCK,C4_Actionability,1.0,0.0
CODE_SLICE_BLOCK,C5_Contextual_Adequacy,0.583,0.504
CODE_SLICE_BLOCK,C6_Brevity,0.708,0.464
CODE_SLICE_BACKWARD,C1_Readability,0.792,0.415
CODE_SLICE_BACKWARD,C2_Problem_Identification,0.708,0.464
CODE_SLICE_BACKWARD,C3_Explanation_Clarity,0.708,0.464
CODE_SLICE_BACKWARD,C4_Actionability,1.0,0.0
CODE_SLICE_BACKWARD,C5_Contextual_Adequacy,0.75,0.442
CODE_SLICE_BACKWARD,C6_Brevity,0.708,0.464
CODE_SLICE_FORWARD,C1_Readability,0.958,0.204
CODE_SLICE_FORWARD,C2_Problem_Identification,0.625,0.495
CODE_SLICE_FORWARD,C3_Explanation_Clarity,0.667,0.482
CODE_SLICE_FORWARD,C4_Actionability,0.958,0.204
CODE_SLICE_FORWARD,C5_Contextual_Adequacy,0.625,0.495
CODE_SLICE_FORWARD,C6_Brevity,0.833,0.381
CODE_SLICE_UNION,C1_Readability,0.875,0.338
CODE_SLICE_UNION,C2_Problem_Identification,0.583,0.504
CODE_SLICE_UNION,C3_Explanation_Clarity,0.583,0.504
CODE_SLICE_UNION,C4_Actionability,0.917,0.282
CODE_SLICE_UNION,C5_Contextual_Adequacy,0.958,0.204
CODE_SLICE_UNION,C6_Brevity,0.708,0.464
ERROR_TEST,C1_Readability,1.0,0.0
ERROR_TEST,C2_Problem_Identification,0.958,0.204
ERROR_TEST,C3_Explanation_Clarity,0.958,0.204
ERROR_TEST,C4_Actionability,1.0,0.0
ERROR_TEST,C5_Contextual_Adequacy,0.5,0.511
ERROR_TEST,C6_Brevity,0.875,0.338
ERROR_DOCSTRING,C1_Readability,0.875,0.338
ERROR_DOCSTRING,C2_Problem_Identification,0.542,0.509
ERROR_DOCSTRING,C3_Explanation_Clarity,0.583,0.504
ERROR_DOCSTRING,C4_Actionability,0.875,0.338
ERROR_DOCSTRING,C5_Contextual_Adequacy,0.417,0.504
ERROR_DOCSTRING,C6_Brevity,0.875,0.338
ERROR_SLICE_BLOCK,C1_Readability,0.833,0.381
ERROR_SLICE_BLOCK,C2_Problem_Identification,0.542,0.509
ERROR_SLICE_BLOCK,C3_Explanation_Clarity,0.75,0.442
ERROR_SLICE_BLOCK,C4_Actionability,1.0,0.0
ERROR_SLICE_BLOCK,C5_Contextual_Adequacy,0.958,0.204
ERROR_SLICE_BLOCK,C6_Brevity,0.833,0.381
ERROR_SLICE_BACKWARD,C1_Readability,0.833,0.381
ERROR_SLICE_BACKWARD,C2_Problem_Identification,0.583,0.504
ERROR_SLICE_BACKWARD,C3_Explanation_Clarity,0.667,0.482
ERROR_SLICE_BACKWARD,C4_Actionability,0.958,0.204
ERROR_SLICE_BACKWARD,C5_Contextual_Adequacy,0.958,0.204
ERROR_SLICE_BACKWARD,C6_Brevity,0.833,0.381
ERROR_SLICE_FORWARD,C1_Readability,0.833,0.381
ERROR_SLICE_FORWARD,C2_Problem_Identification,0.5,0.511
ERROR_SLICE_FORWARD,C3_Explanation_Clarity,0.5,0.511
ERROR_SLICE_FORWARD,C4_Actionability,0.792,0.415
ERROR_SLICE_FORWARD,C5_Contextual_Adequacy,0.833,0.381
ERROR_SLICE_FORWARD,C6_Brevity,0.625,0.495
ERROR_SLICE_UNION,C1_Readability,0.917,0.282
ERROR_SLICE_UNION,C2_Problem_Identification,0.667,0.482
ERROR_SLICE_UNION,C3_Explanation_Clarity,0.75,0.442
ERROR_SLICE_UNION,C4_Actionability,0.917,0.282
ERROR_SLICE_UNION,C5_Contextual_Adequacy,0.917,0.282
ERROR_SLICE_UNION,C6_Brevity,0.958,0.204
TEST_DOCSTRING,C1_Readability,0.875,0.338
TEST_DOCSTRING,C2_Problem_Identification,0.875,0.338
TEST_DOCSTRING,C3_Explanation_Clarity,0.917,0.282
TEST_DOCSTRING,C4_Actionability,1.0,0.0
TEST_DOCSTRING,C5_Contextual_Adequacy,0.583,0.504
TEST_DOCSTRING,C6_Brevity,0.875,0.338
TEST_SLICE_BLOCK,C1_Readability,0.792,0.415
TEST_SLICE_BLOCK,C2_Problem_Identification,0.958,0.204
TEST_SLICE_BLOCK,C3_Explanation_Clarity,0.958,0.204
TEST_SLICE_BLOCK,C4_Actionability,1.0,0.0
TEST_SLICE_BLOCK,C5_Contextual_Adequacy,0.5,0.511
TEST_SLICE_BLOCK,C6_Brevity,0.875,0.338
TEST_SLICE_BACKWARD,C1_Readability,0.833,0.381
TEST_SLICE_BACKWARD,C2_Problem_Identification,0.958,0.204
TEST_SLICE_BACKWARD,C3_Explanation_Clarity,0.958,0.204
TEST_SLICE_BACKWARD,C4_Actionability,1.0,0.0
TEST_SLICE_BACKWARD,C5_Contextual_Adequacy,0.667,0.482
TEST_SLICE_BACKWARD,C6_Brevity,0.917,0.282
TEST_SLICE_FORWARD,C1_Readability,0.75,0.442
TEST_SLICE_FORWARD,C2_Problem_Identification,0.625,0.495
TEST_SLICE_FORWARD,C3_Explanation_Clarity,0.667,0.482
TEST_SLICE_FORWARD,C4_Actionability,0.917,0.282
TEST_SLICE_FORWARD,C5_Contextual_Adequacy,0.875,0.338
TEST_SLICE_FORWARD,C6_Brevity,0.75,0.442
TEST_SLICE_UNION,C1_Readability,0.875,0.338
TEST_SLICE_UNION,C2_Problem_Identification,0.875,0.338
TEST_SLICE_UNION,C3_Explanation_Clarity,0.958,0.204
TEST_SLICE_UNION,C4_Actionability,1.0,0.0
TEST_SLICE_UNION,C5_Contextual_Adequacy,0.958,0.204
TEST_SLICE_UNION,C6_Brevity,0.958,0.204
DOCSTRING_SLICE_BLOCK,C1_Readability,0.75,0.442
DOCSTRING_SLICE_BLOCK,C2_Problem_Identification,0.292,0.464
DOCSTRING_SLICE_BLOCK,C3_Explanation_Clarity,0.375,0.495
DOCSTRING_SLICE_BLOCK,C4_Actionability,1.0,0.0
DOCSTRING_SLICE_BLOCK,C5_Contextual_Adequacy,0.75,0.442
DOCSTRING_SLICE_BLOCK,C6_Brevity,0.583,0.504
DOCSTRING_SLICE_BACKWARD,C1_Readability,0.833,0.381
DOCSTRING_SLICE_BACKWARD,C2_Problem_Identification,0.375,0.495
DOCSTRING_SLICE_BACKWARD,C3_Explanation_Clarity,0.375,0.495
DOCSTRING_SLICE_BACKWARD,C4_Actionability,0.958,0.204
DOCSTRING_SLICE_BACKWARD,C5_Contextual_Adequacy,0.875,0.338
DOCSTRING_SLICE_BACKWARD,C6_Brevity,0.625,0.495
DOCSTRING_SLICE_FORWARD,C1_Readability,0.792,0.415
DOCSTRING_SLICE_FORWARD,C2_Problem_Identification,0.083,0.282
DOCSTRING_SLICE_FORWARD,C3_Explanation_Clarity,0.167,0.381
DOCSTRING_SLICE_FORWARD,C4_Actionability,0.833,0.381
DOCSTRING_SLICE_FORWARD,C5_Contextual_Adequacy,0.792,0.415
DOCSTRING_SLICE_FORWARD,C6_Brevity,0.667,0.482
DOCSTRING_SLICE_UNION,C1_Readability,0.833,0.381
DOCSTRING_SLICE_UNION,C2_Problem_Identification,0.417,0.504
DOCSTRING_SLICE_UNION,C3_Explanation_Clarity,0.5,0.511
DOCSTRING_SLICE_UNION,C4_Actionability,1.0,0.0
DOCSTRING_SLICE_UNION,C5_Contextual_Adequacy,0.958,0.204
DOCSTRING_SLICE_UNION,C6_Brevity,0.708,0.464
SLICE_BLOCK_SLICE_BACKWARD,C1_Readability,0.875,0.338
SLICE_BLOCK_SLICE_BACKWARD,C2_Problem_Identification,0.25,0.442
SLICE_BLOCK_SLICE_BACKWARD,C3_Explanation_Clarity,0.333,0.482
SLICE_BLOCK_SLICE_BACKWARD,C4_Actionability,0.917,0.282
SLICE_BLOCK_SLICE_BACKWARD,C5_Contextual_Adequacy,0.958,0.204
SLICE_BLOCK_SLICE_BACKWARD,C6_Brevity,0.583,0.504
SLICE_BLOCK_SLICE_FORWARD,C1_Readability,0.833,0.381
SLICE_BLOCK_SLICE_FORWARD,C2_Problem_Identification,0.208,0.415
SLICE_BLOCK_SLICE_FORWARD,C3_Explanation_Clarity,0.375,0.495
SLICE_BLOCK_SLICE_FORWARD,C4_Actionability,1.0,0.0
SLICE_BLOCK_SLICE_FORWARD,C5_Contextual_Adequacy,0.875,0.338
SLICE_BLOCK_SLICE_FORWARD,C6_Brevity,0.542,0.509
SLICE_BLOCK_SLICE_UNION,C1_Readability,0.833,0.381
SLICE_BLOCK_SLICE_UNION,C2_Problem_Identification,0.333,0.482
SLICE_BLOCK_SLICE_UNION,C3_Explanation_Clarity,0.333,0.482
SLICE_BLOCK_SLICE_UNION,C4_Actionability,0.917,0.282
SLICE_BLOCK_SLICE_UNION,C5_Contextual_Adequacy,0.917,0.282
SLICE_BLOCK_SLICE_UNION,C6_Brevity,0.667,0.482
SLICE_BACKWARD_SLICE_FORWARD,C1_Readability,0.75,0.442
SLICE_BACKWARD_SLICE_FORWARD,C2_Problem_Identification,0.333,0.482
SLICE_BACKWARD_SLICE_FORWARD,C3_Explanation_Clarity,0.417,0.504
SLICE_BACKWARD_SLICE_FORWARD,C4_Actionability,0.875,0.338
SLICE_BACKWARD_SLICE_FORWARD,C5_Contextual_Adequacy,1.0,0.0
SLICE_BACKWARD_SLICE_FORWARD,C6_Brevity,0.833,0.381
SLICE_BACKWARD_SLICE_UNION,C1_Readability,0.875,0.338
SLICE_BACKWARD_SLICE_UNION,C2_Problem_Identification,0.292,0.464
SLICE_BACKWARD_SLICE_UNION,C3_Explanation_Clarity,0.417,0.504
SLICE_BACKWARD_SLICE_UNION,C4_Actionability,1.0,0.0
SLICE_BACKWARD_SLICE_UNION,C5_Contextual_Adequacy,0.958,0.204
SLICE_BACKWARD_SLICE_UNION,C6_Brevity,0.75,0.442
SLICE_FORWARD_SLICE_UNION,C1_Readability,0.875,0.338
SLICE_FORWARD_SLICE_UNION,C2_Problem_Identification,0.208,0.415
SLICE_FORWARD_SLICE_UNION,C3_Explanation_Clarity,0.458,0.509
SLICE_FORWARD_SLICE_UNION,C4_Actionability,0.958,0.204
SLICE_FORWARD_SLICE_UNION,C5_Contextual_Adequacy,1.0,0.0
SLICE_FORWARD_SLICE_UNION,C6_Brevity,0.625,0.495
BASELINE,C1_Readability,0.875,0.338
BASELINE,C2_Problem_Identification,0.958,0.204
BASELINE,C3_Explanation_Clarity,1.0,0.0
BASELINE,C4_Actionability,1.0,0.0
BASELINE,C5_Contextual_Adequacy,0.708,0.464
BASELINE,C6_Brevity,0.875,0.338
