Levels,Criterion,Mean,Std
CODE,C1_Readability,0.806,0.401
CODE,C2_Problem_Identification,0.778,0.422
CODE,C3_Explanation_Clarity,0.806,0.401
CODE,C4_Actionability,0.944,0.232
CODE,C5_Contextual_Adequacy,0.389,0.494
CODE,C6_Brevity,0.806,0.401
ERROR,C1_Readability,0.972,0.167
ERROR,C2_Problem_Identification,0.389,0.494
ERROR,C3_Explanation_Clarity,0.417,0.5
ERROR,C4_Actionability,0.556,0.504
ERROR,C5_Contextual_Adequacy,0.806,0.401
ERROR,C6_Brevity,0.861,0.351
TEST,C1_Readability,1.0,0.0
TEST,C2_Problem_Identification,0.417,0.5
TEST,C3_Explanation_Clarity,0.556,0.504
TEST,C4_Actionability,0.833,0.378
TEST,C5_Contextual_Adequacy,0.583,0.5
TEST,C6_Brevity,0.778,0.422
DOCSTRING,C1_Readability,0.917,0.28
DOCSTRING,C2_Problem_Identification,0.278,0.454
DOCSTRING,C3_Explanation_Clarity,0.333,0.478
DOCSTRING,C4_Actionability,0.722,0.454
DOCSTRING,C5_Contextual_Adequacy,0.556,0.504
DOCSTRING,C6_Brevity,0.694,0.467
SLICE_BLOCK,C1_Readability,0.917,0.28
SLICE_BLOCK,C2_Problem_Identification,0.167,0.378
SLICE_BLOCK,C3_Explanation_Clarity,0.278,0.454
SLICE_BLOCK,C4_Actionability,0.944,0.232
SLICE_BLOCK,C5_Contextual_Adequacy,0.917,0.28
SLICE_BLOCK,C6_Brevity,0.694,0.467
SLICE_BACKWARD,C1_Readability,0.833,0.378
SLICE_BACKWARD,C2_Problem_Identification,0.194,0.401
SLICE_BACKWARD,C3_Explanation_Clarity,0.333,0.478
SLICE_BACKWARD,C4_Actionability,0.917,0.28
SLICE_BACKWARD,C5_Contextual_Adequacy,0.944,0.232
SLICE_BACKWARD,C6_Brevity,0.667,0.478
SLICE_FORWARD,C1_Readability,0.889,0.319
SLICE_FORWARD,C2_Problem_Identification,0.111,0.319
SLICE_FORWARD,C3_Explanation_Clarity,0.333,0.478
SLICE_FORWARD,C4_Actionability,0.722,0.454
SLICE_FORWARD,C5_Contextual_Adequacy,0.833,0.378
SLICE_FORWARD,C6_Brevity,0.583,0.5
SLICE_UNION,C1_Readability,0.889,0.319
SLICE_UNION,C2_Problem_Identification,0.333,0.478
SLICE_UNION,C3_Explanation_Clarity,0.528,0.506
SLICE_UNION,C4_Actionability,0.944,0.232
SLICE_UNION,C5_Contextual_Adequacy,1.0,0.0
SLICE_UNION,C6_Brevity,0.611,0.494
BASELINE,C1_Readability,0.75,0.439
BASELINE,C2_Problem_Identification,0.972,0.167
BASELINE,C3_Explanation_Clarity,1.0,0.0
BASELINE,C4_Actionability,0.944,0.232
BASELINE,C5_Contextual_Adequacy,0.806,0.401
BASELINE,C6_Brevity,0.833,0.378
