defect_id,run_id,fix_correct,known_bug,fix_description,notes
defect1_java,1,TRUE,"Minutes validation rejects negative; offset calc uses subtraction instead of addition","Changed validation to allow -59..+59; added sign-combination check; uses safeAdd(hoursOffset*60 + minutesOffset)","Correctly fixes both the validation range and offset calc"
defect1_java,2,TRUE,"Minutes validation rejects negative; offset calc uses subtraction instead of addition","Changed validation to allow -59..+59; separate branches for positive/negative hours; uses hoursOffset*60 - Math.abs(minutesOffset) for negative","Correctly fixes the bug; negative-hours branch uses -Math.abs(minutesOffset) which is correct for negative input minutes"
defect1_java,3,TRUE,"Minutes validation rejects negative; offset calc uses subtraction instead of addition","Changed validation to allow -59..+59; negative-hours uses hoursOffset*60 - Math.abs(minutesOffset)","Correct fix; rejects positive hours with negative minutes"
defect2_java,1,TRUE,"Uses unclamped 'value' instead of clamped 'v' for grayscale calculation","Changed (value - lowerBound) to (v - lowerBound); added range/NaN guards","Correct core fix with additional defensive checks"
defect2_java,2,TRUE,"Uses unclamped 'value' instead of clamped 'v' for grayscale calculation","Changed (value - lowerBound) to (v - lowerBound); added bounds clamping on g","Correct core fix"
defect2_java,3,TRUE,"Uses unclamped 'value' instead of clamped 'v' for grayscale calculation","Changed (value - lowerBound) to (v - lowerBound); added Math.max/min clamp on g","Correct core fix; minimal"
defect3_java,1,TRUE,"Surrogate pair: translate returns 2 (code units) but loop advances by codepoints causing IndexOutOfBounds","Fixed codepoint counting to use Character.charCount for proper advancement","Correctly addresses the surrogate pair advancement issue"
defect3_java,2,FALSE,"Surrogate pair: translate returns 2 (code units) but loop advances by codepoints causing IndexOutOfBounds","Returned abstract method declaration instead of fixed implementation","Wrong method returned; only the abstract translate signature"
defect3_java,3,FALSE,"Surrogate pair: translate returns 2 (code units) but loop advances by codepoints causing IndexOutOfBounds","Empty output — no fix generated","No fix generated at all"
defect4_java,1,TRUE,"Uses minMiddleIndex instead of maxMiddleIndex when computing max middle comparison","Changed to use maxMiddleIndex for max middle lookup and comparison","Exact fix for the index swap bug"
defect4_java,2,TRUE,"Uses minMiddleIndex instead of maxMiddleIndex when computing max middle comparison","Changed to use maxMiddleIndex for max middle lookup and comparison","Exact fix for the index swap bug"
defect4_java,3,TRUE,"Uses minMiddleIndex instead of maxMiddleIndex when computing max middle comparison","Changed to use maxMiddleIndex for max middle lookup and comparison","Exact fix for the index swap bug"
defect5_java,1,TRUE,"copyArrayGrow1 casts result to Object[] causing ClassCastException on typed arrays","Passes component type to copyArrayGrow1 explicitly","Correct fix; passes type parameter"
defect5_java,2,TRUE,"copyArrayGrow1 casts result to Object[] causing ClassCastException on typed arrays","Passes component type to copyArrayGrow1 explicitly","Correct fix; also references LANG-571 JIRA issue (contamination signal)"
defect5_java,3,TRUE,"copyArrayGrow1 casts result to Object[] causing ClassCastException on typed arrays","Passes componentType to copyArrayGrow1 explicitly","Correct fix"
defect6_java,1,TRUE,"Missing negative zero handling: -0.0 printed as '0' instead of '-0.0'","Added isNegativeZero(x) check with early return adding '-0'","Correctly handles negative zero"
defect6_java,2,TRUE,"Missing negative zero handling: -0.0 printed as '0' instead of '-0.0'","Added isNegativeZero(x) check with early return adding '-0'","Correctly handles negative zero"
defect6_java,3,TRUE,"Missing negative zero handling: -0.0 printed as '0' instead of '-0.0'","Added isNegativeZero(x) check with early return adding '-0'","Correctly handles negative zero"
defect7_java,1,TRUE,"NullPointerException when array contains null element - no null check in loop","Added null check: classes[i] = (element == null) ? null : element.getClass()","Exact fix for the null element case"
defect7_java,2,TRUE,"NullPointerException when array contains null element - no null check in loop","Added null check: classes[i] = (element == null) ? null : element.getClass()","Exact fix for the null element case"
defect7_java,3,TRUE,"NullPointerException when array contains null element - no null check in loop","Added null check: classes[i] = (element == null) ? null : element.getClass()","Exact fix for the null element case"
defect8_java,1,TRUE,"Does not handle language__variant format (e.g. fr__POSIX); rejects double underscore","Added handling for empty country code with double underscore","Correctly handles the fr__POSIX case"
defect8_java,2,TRUE,"Does not handle language__variant format (e.g. fr__POSIX); rejects double underscore","Added handling for empty country code with double underscore","Correctly handles the fr__POSIX case"
defect8_java,3,TRUE,"Does not handle language__variant format (e.g. fr__POSIX); rejects double underscore","Added handling for empty country code with double underscore","Correctly handles the fr__POSIX case"
defect9_java,1,TRUE,"NullPointerException when replacement is null; should skip null entries","Added null guard for replacement entries in the buffer growth calculation","Correctly guards against null in replacement list"
defect9_java,2,TRUE,"NullPointerException when replacement is null; should skip null entries","Added null guard for replacement entries","Correctly guards against null in replacement list"
defect9_java,3,TRUE,"NullPointerException when replacement is null; should skip null entries","Added null guard for replacement entries","Correctly guards against null in replacement list"
defect10_java,1,FALSE,"StringIndexOutOfBoundsException on empty string after stripping type qualifier (e.g. 'l' -> '')","No empty-string check added after stripping qualifier; numeric.charAt(0) still crashes on empty","Bug not addressed; code still calls charAt(0) on empty string"
defect10_java,2,FALSE,"StringIndexOutOfBoundsException on empty string after stripping type qualifier (e.g. 'l' -> '')","No empty-string check added after stripping qualifier","Bug not addressed"
defect10_java,3,FALSE,"StringIndexOutOfBoundsException on empty string after stripping type qualifier (e.g. 'l' -> '')","No empty-string check added after stripping qualifier","Bug not addressed"
defect11_java,1,FALSE,"No validation of start/end bounds; start==end gives zero-width range and unhelpful error","Added gap<=0 check inside loop but message says 'Start and end invalid' — capital S fails msg.contains('start')","Message uses 'Start' (uppercase) but test checks for lowercase 'start'"
defect11_java,2,TRUE,"No validation of start/end bounds; start==end gives zero-width range and unhelpful error","Added gap<=0 check early with message 'Invalid start and end range: X to Y'","Contains both 'start' and 'end' in message; correct"
defect11_java,3,FALSE,"No validation of start/end bounds; start==end gives zero-width range and unhelpful error","No start>=end validation added before computing gap","Bug not addressed; random.nextInt(0) still throws unhelpful error"
defect12_java,1,TRUE,"StringIndexOutOfBoundsException when lower > string length; upper forced to lower which is OOB","Added lower > str.length() guard returning full string","Correctly prevents OOB"
defect12_java,2,TRUE,"StringIndexOutOfBoundsException when lower > string length; upper forced to lower which is OOB","Added str.length() <= upper check returning full string early","Correctly prevents OOB"
defect12_java,3,TRUE,"StringIndexOutOfBoundsException when lower > string length; upper forced to lower which is OOB","Added lower >= str.length() guard returning full string","Correctly prevents OOB"
