Levels,Criterion,Mean,Std
CODE,C1_Readability,0.583,0.5
CODE,C2_Problem_Identification,0.0,0.0
CODE,C3_Explanation_Clarity,0.0,0.0
CODE,C4_Actionability,0.0,0.0
CODE,C5_Contextual_Adequacy,0.139,0.351
CODE,C6_Brevity,0.0,0.0
ERROR,C1_Readability,0.972,0.167
ERROR,C2_Problem_Identification,0.028,0.167
ERROR,C3_Explanation_Clarity,0.028,0.167
ERROR,C4_Actionability,0.028,0.167
ERROR,C5_Contextual_Adequacy,0.556,0.504
ERROR,C6_Brevity,0.028,0.167
TEST,C1_Readability,0.611,0.494
TEST,C2_Problem_Identification,0.0,0.0
TEST,C3_Explanation_Clarity,0.0,0.0
TEST,C4_Actionability,0.0,0.0
TEST,C5_Contextual_Adequacy,0.167,0.378
TEST,C6_Brevity,0.0,0.0
DOCSTRING,C1_Readability,0.639,0.487
DOCSTRING,C2_Problem_Identification,0.0,0.0
DOCSTRING,C3_Explanation_Clarity,0.0,0.0
DOCSTRING,C4_Actionability,0.0,0.0
DOCSTRING,C5_Contextual_Adequacy,0.222,0.422
DOCSTRING,C6_Brevity,0.0,0.0
SLICE_BLOCK,C1_Readability,0.806,0.401
SLICE_BLOCK,C2_Problem_Identification,0.0,0.0
SLICE_BLOCK,C3_Explanation_Clarity,0.0,0.0
SLICE_BLOCK,C4_Actionability,0.0,0.0
SLICE_BLOCK,C5_Contextual_Adequacy,0.583,0.5
SLICE_BLOCK,C6_Brevity,0.0,0.0
SLICE_BACKWARD,C1_Readability,0.722,0.454
SLICE_BACKWARD,C2_Problem_Identification,0.0,0.0
SLICE_BACKWARD,C3_Explanation_Clarity,0.0,0.0
SLICE_BACKWARD,C4_Actionability,0.0,0.0
SLICE_BACKWARD,C5_Contextual_Adequacy,0.75,0.439
SLICE_BACKWARD,C6_Brevity,0.0,0.0
SLICE_FORWARD,C1_Readability,0.611,0.494
SLICE_FORWARD,C2_Problem_Identification,0.0,0.0
SLICE_FORWARD,C3_Explanation_Clarity,0.0,0.0
SLICE_FORWARD,C4_Actionability,0.0,0.0
SLICE_FORWARD,C5_Contextual_Adequacy,0.639,0.487
SLICE_FORWARD,C6_Brevity,0.0,0.0
SLICE_UNION,C1_Readability,0.611,0.494
SLICE_UNION,C2_Problem_Identification,0.0,0.0
SLICE_UNION,C3_Explanation_Clarity,0.0,0.0
SLICE_UNION,C4_Actionability,0.0,0.0
SLICE_UNION,C5_Contextual_Adequacy,0.833,0.378
SLICE_UNION,C6_Brevity,0.0,0.0
BASELINE,C1_Readability,0.778,0.422
BASELINE,C2_Problem_Identification,0.083,0.28
BASELINE,C3_Explanation_Clarity,0.083,0.28
BASELINE,C4_Actionability,0.056,0.232
BASELINE,C5_Contextual_Adequacy,0.278,0.454
BASELINE,C6_Brevity,0.083,0.28
